cluster,n_cells,pct_of_total,top_markers,cell_type_ANNOTATE_ME,paper_cluster_match,evidence_notes
0,8502,9.87,"lncRNA:mimi, toy, VAChT, ct, scrt",,,
1,3196,3.71,"CG8369, lncRNA:CR34335, MtnA, nrv2, CG1552",,,
2,143,0.17,"CG9394, CG1552, Gs2, CG42342, CG31705",,,
3,1047,1.21,"vvl, nAChRalpha6, CG42541, pyd, Cph",,,
4,7543,8.75,"VGlut1, cpx, CG34355, CG32017, Bacc",,,
5,695,0.81,"lncRNA:CR34335, CG13631, eEF1alpha1, CG15201, CG42489",,,
6,10273,11.92,"VGlut1, IA-2, CG2269, lncRNA:mimi, bru3",,,
7,9058,10.51,"CG31221, IA-2, lncRNA:Hsromega, jeb, bru3",,,
8,1913,2.22,"Vmat, ple, DAT, CG42342, bru3",,,
9,1775,2.06,"disco, disco-r, CG31221, Dop2R, eys",,,
10,1462,1.7,"nAChRalpha6, sosie, beat-Ic, acj6, CG9896",,,
11,3032,3.52,"Imp, futsch, sesB, mbl, mamo",,,
12,3822,4.44,"mub, jdp, Pka-C1, 14-3-3zeta, Pka-R2",,,
13,9472,10.99,"CG14989, Gad1, CG10804, CG32017, hth",,,
14,893,1.04,"dths, cpx, CG18598, CG31345, Abl",,,
15,2221,2.58,"SoxN, CG42750, acj6, Ten-a, CNMaR",,,
16,7093,8.23,"pros, VAChT, acj6, Hs3st-A, futsch",,,
17,3408,3.95,"ct, Rbp6, Jhbp2, Cbp53E, scrt",,,
18,1998,2.32,"Rbp6, Cbp53E, ct, Pka-C3, CG31221",,,
19,526,0.61,"CG1552, nrv2, CG8369, lncRNA:CR34335, CG4409",,,
20,1542,1.79,"CG14989, Octbeta1R, Bx, cpx, Gad1",,,
21,474,0.55,"Pdh, fabp, pkm, se, CG6870",,,
22,1181,1.37,"beat-IIa, Con, nAChRalpha7, acj6, ct",,,
23,526,0.61,"CG43795, CG42342, hth, CG42674, Eip63F-1",,,
24,1915,2.22,"Jhbp2, Eaat1, CG15522, witty, Octbeta2R",,,
25,822,0.95,"lncRNA:CR34335, Oda, CG3168, MtnA, eEF1alpha1",,,
26,444,0.52,"Arr2, Arr1, ninaE, trpl, ninaC",,,
27,464,0.54,"VGlut1, Argk1, Fim, CG34384, lncRNA:CR45312",,,
28,427,0.5,"jdp, 14-3-3zeta, Tomosyn, Nep1, CG14989",,,
29,310,0.36,"VGlut1, CG43689, Lmx1a, disco-r, Ggamma30A",,,
