names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
mt:lrRNA,101.53271,2.5577586,0.0,0.0,0.8831571529245947
RpL41,76.28924,1.57375,0.0,0.0,0.840498003288701
lncRNA:CR34335,69.652596,1.1435183,0.0,0.0,0.986046511627907
snRNA:7SKa,65.749405,1.9891573,0.0,0.0,0.6997885835095138
Mic10b,65.405136,3.31175,0.0,0.0,0.4379140239605356
Cyt-c-p,63.14041,1.7700454,0.0,0.0,0.6274371623208832
mei-P26,62.438828,0.88297766,0.0,0.0,0.9332863518910031
His3.3B,59.139065,1.1399091,0.0,0.0,0.7871270848015034
sun,58.57012,2.1222622,0.0,0.0,0.5002583979328166
Sxl,57.55137,1.5879977,0.0,0.0,0.6242894056847546
RpL29,54.40625,1.1580647,0.0,0.0,0.7486962649753347
nrv3,50.482323,0.48088378,0.0,0.0,0.9691801738313366
flw,46.440178,1.4616482,0.0,0.0,0.5232793046746536
RpL39,42.751312,1.0908691,0.0,0.0,0.6280479210711769
pum,41.295544,0.80192226,0.0,0.0,0.813624618275781
CG7646,40.918987,1.0380831,0.0,0.0,0.6229739252995067
sif,40.170544,0.9851806,0.0,0.0,0.6745125675358233
Dsp1,40.106274,0.94431096,0.0,0.0,0.6868217054263566
fne,39.372616,0.6277384,0.0,0.0,0.8391825229034532
Pde4,38.830105,0.8073296,0.0,0.0,0.7367159971811135
Bsg,38.408066,0.81691664,0.0,0.0,0.7347427766032417
Ten-a,37.93668,0.6848536,0.0,0.0,0.8389006342494715
Hex-A,36.53973,0.90339303,2.5959979174312415e-292,6.328523723113881e-290,0.6422832980972516
Smr,35.788826,0.9705496,1.6480829634121755e-280,3.790279856798303e-278,0.5745830396993188
Pdp1,35.44307,0.60623854,3.708948238557431e-275,8.072923228531523e-273,0.8321353065539112
CG42613,35.28189,0.9786306,1.1133007475323013e-272,2.3807057564335474e-270,0.578482499412732
msi,35.204533,0.96048504,1.704355648383364e-271,3.5817915514042794e-269,0.5992952783650458
Nca,34.49693,1.5449005,8.919174517466112e-261,1.753480938603136e-258,0.34376321353065536
fru,33.865196,1.2705177,2.1686193248022032e-251,4.005045598486978e-249,0.4178999295278365
fax,33.47513,0.85153043,1.1092699097484332e-245,2.0180434223766646e-243,0.6161146347192858
Atpalpha,33.3168,0.33364484,2.2052297345042057e-243,3.9528742990987887e-241,0.9805966643175945
VhaM9.7-a,33.294743,0.8827033,4.6006186804640297e-243,8.127092912489283e-241,0.5729856706600893
RpL38,33.140095,0.5853264,7.8668999725016e-241,1.3698520537831716e-238,0.7908386187455955
UQCR-6.4,32.481224,0.9750047,1.9636160644500564e-231,3.2787008506276357e-229,0.5025604886070002
eIF4EHP,31.996881,0.88094074,1.2049873950152006e-224,1.883024533056446e-222,0.553958186516326
bel,31.947989,0.8776157,5.761530226768165e-224,8.889530624566729e-222,0.5494949494949495
Fim,31.866364,0.9406236,7.811445004325209e-223,1.1901712894714995e-220,0.51092318534179
pcs,31.847713,1.6196064,1.4158424063711844e-222,2.1305806285504156e-220,0.29931876908621097
fs(1)h,31.587866,0.67446196,5.41901667410134e-219,8.055170029344053e-217,0.7417430115104534
Tom6,31.474047,1.7217175,1.968313841908001e-217,2.8561639784543597e-215,0.28273431994362225
HDAC4,31.169725,0.97058165,2.741472334341314e-213,3.931271327445444e-211,0.4764857881136951
Caper,31.15463,0.8946394,4.3899260110220666e-213,6.221954435854415e-211,0.5244068592905802
RNaseMRP:RNA,31.139616,4.058796,7.011153576541688e-213,9.822867924651336e-211,0.19285882076579752
Gbeta13F,31.00363,0.5753988,4.816318631773973e-211,6.596191887943029e-209,0.7868451961475217
lncRNA:noe,30.587614,0.18982176,1.7885571552976862e-205,2.369643822382989e-203,0.9998590556730091
Sh,29.826645,0.40892637,1.763682777632319e-195,2.2628978291116146e-193,0.8848015034061546
pan,29.494492,0.6041923,3.3875590824461956e-191,4.301141422493404e-189,0.779657035470989
Vha16-1,29.357883,0.43804985,1.8953303134181687e-189,2.357365427576945e-187,0.8630490956072352
dlg1,29.298475,0.7068074,1.0845944993961802e-188,1.3353658942565697e-186,0.6431759455015269
Cdc14,28.834854,1.2897044,7.846491301515126e-183,9.469394304373056e-181,0.32163495419309374
ND-MLRQ,28.74303,0.74367344,1.1069332477077106e-181,1.3099426559523577e-179,0.5814423302795396
para,28.551474,0.4844834,2.6930934011974937e-179,3.09680334596191e-177,0.8400281888653982
Rdh,28.301771,0.80308545,3.2866770032159465e-176,3.709380184462886e-174,0.5268498942917548
Tlk,28.038315,0.8123014,5.545710249543195e-173,6.089789390241622e-171,0.5070707070707071
Pitslre,27.701017,0.6774389,6.787971708265389e-169,7.321998863012995e-167,0.6471693680996007
Vap33,27.11746,0.627725,6.129585679489442e-162,6.496827812808419e-160,0.6487197556964999
Eip75B,26.199097,0.49695453,2.7210693243254695e-151,2.7186159011641924e-149,0.7760864458538878
PAN3,26.195866,0.7769312,2.9619109880392142e-151,2.935181547415446e-149,0.4891237961005403
cype,26.095036,0.497534,4.1509416023848864e-150,4.080308644473337e-148,0.7731735964294104
jim,26.085829,0.42963883,5.279855237443114e-150,5.14849243913553e-148,0.9255344139065069
Unr,25.836803,0.44742787,3.4236628442734996e-147,3.260236438191382e-145,0.7957246887479446
CG4467,25.728056,0.7060983,5.675209859075164e-146,5.321164074789783e-144,0.5516091143998121
Syn,25.38101,0.6902764,4.087332274693894e-142,3.717947245988349e-140,0.546394174301151
CG44774,25.203438,0.9772818,3.672733975927393e-140,3.2916878259249264e-138,0.3501526896875734
mRpS5,25.068277,0.72179437,1.1035072239137582e-138,9.746847501655652e-137,0.5019027484143763
drn,25.055487,0.7392744,1.5213316297916783e-138,1.3340655565130047e-136,0.4935870331219168
Lk6,25.01401,0.5217518,4.304127219219942e-138,3.747357619647991e-136,0.7552736669015738
tow,25.012873,0.8958119,4.428562691803838e-138,3.8283511099572326e-136,0.3838383838383838
RhoGAP93B,24.70757,0.8154228,8.868035755518504e-135,7.558915232448604e-133,0.4232558139534884
TP53INP,24.325085,0.61284566,1.064186881742748e-130,8.824063878613848e-129,0.6095372327930467
CG33181,23.775675,0.7865757,5.963080103786102e-125,4.81350883344694e-123,0.42696734789758045
eff,23.666903,0.635164,7.907222801567864e-124,6.34086439002044e-122,0.5445149166079398
Bacc,23.555746,0.27897045,1.0961938340387727e-122,8.733010877842222e-121,0.9241249706365986
Ac3,23.400112,0.77896273,4.2623573683176805e-121,3.351862836285433e-119,0.4140474512567536
NdufA3,23.37882,0.6930873,7.019716938028984e-121,5.484828830617646e-119,0.4810899694620625
trv,23.319729,0.6148992,2.7966480945903734e-120,2.1712320780230612e-118,0.5926239135541461
Cngl,23.292868,0.4770922,5.236225972732223e-120,4.039516353267915e-118,0.7431524547803617
UQCR-11,23.242954,0.57600063,1.6761697612428246e-119,1.2849580641376596e-117,0.5982147051914494
Sema1a,23.141186,0.5917419,1.7834434250445187e-118,1.3502106775073067e-116,0.5959595959595959
Eph,23.106283,0.82160324,4.003286283064625e-118,3.0121022533502905e-116,0.37876438806671364
Serinc,22.628458,0.9875502,2.2741872808815536e-113,1.6902480955283694e-111,0.3037350246652572
Neb-cGP,22.566265,0.52147174,9.297751619249168e-113,6.827126173917356e-111,0.6569415081042989
IA-2,22.540737,0.48059002,1.6553720636771805e-112,1.2082233583330033e-110,0.9265680056377731
