names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RpL39,52.13313,1.0440131,0.0,0.0,0.7866736272602155
UQCR-6.4,43.948925,1.0268208,0.0,0.0,0.6911394808029994
Cp110,34.801533,1.0027732,2.305729721607982e-265,2.554958143334518e-262,0.5097052821413317
Imp,24.180332,1.0616887,3.58307708871421e-129,7.940750297152272e-127,0.3098571496369418
Yp3,23.720179,2.104718,2.232719523143529e-124,4.4614128307535203e-122,0.17336623795738218
lncRNA:alphagamma-element:CR32865,15.765085,1.2067837,5.409935480776906e-56,3.768097347153697e-54,0.1614541312704665
Yp1,13.297822,1.555959,2.3830914544879035e-40,1.2003099892046718e-38,0.1073038773669973
Yp2,8.134377,1.5310414,4.1406362230181754e-16,9.398550264873099e-15,0.06535048170471264
Nplp2,5.254598,1.1741414,1.4834812725776415e-07,2.013602809738182e-06,0.04650942053058706
Arr1,5.0442996,1.1565495,4.5518561854409413e-07,5.797552251237161e-06,0.046604337715343364
Tret1,3.4724054,1.2135361,0.0005158167819749813,0.0045758999926399134,0.034170186512268046
CG34417,3.3956373,1.1439345,0.0006846902575972008,0.005939992562172441,0.03303118029519245
asRNA:CR43425,-3.477628,-1.0435759,0.0005058716205101595,0.0045007804251082735,0.020264818945470078
CG14645,-3.5057752,-1.0002639,0.00045527964508097003,0.004077445697202016,0.02164111812443643
