names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
mt:lrRNA,133.57654,3.0501819,0.0,0.0,0.9482634324244095
snRNA:7SKa,117.13568,2.9555128,0.0,0.0,0.8604808956363174
Cyt-c-p,82.35664,2.2194324,0.0,0.0,0.6836436113820449
RpL41,56.770584,1.1307975,0.0,0.0,0.7760061066112548
Mic10b,54.774097,3.005352,0.0,0.0,0.3706797845723252
His3.3B,48.29173,0.9189731,0.0,0.0,0.7647682456214749
VhaM9.7-a,44.49634,1.13479,0.0,0.0,0.599380857469997
fne,44.229523,0.67171866,0.0,0.0,0.8380051736567575
nrv3,43.920162,0.42193955,0.0,0.0,0.9706967473813664
flw,43.806503,1.3911068,0.0,0.0,0.49790085238115434
sun,41.543404,1.6099095,0.0,0.0,0.4084220346889445
RpL29,41.01794,0.8541366,0.0,0.0,0.6960264619821043
CG7646,38.437332,0.9666587,0.0,0.0,0.5965819939782028
CG42613,37.138256,1.0076064,6.78400236805139e-302,4.352116045483073e-299,0.5678300326534074
Atpalpha,37.055115,0.35468388,1.4855695637315661e-300,9.053803706162029e-298,0.9803231415122344
eIF4EHP,35.96234,0.96638644,3.246503568375536e-283,1.7987105452240642e-280,0.5533692379458038
RNaseMRP:RNA,35.367348,4.151022,5.426242218758602e-274,2.87567245236733e-271,0.21216233408252408
lncRNA:CR34335,34.141853,0.52871394,1.766332279322774e-255,8.280701597178958e-253,0.9705271192909546
Bacc,33.18282,0.40738964,1.905199579466723e-241,8.600917657081438e-239,0.9379585259318943
sif,32.94319,0.79728836,5.295602828448458e-238,2.225796650895112e-235,0.6326703702133073
pum,32.60024,0.6232531,4.069362810918803e-233,1.6533821100763095e-230,0.7902548662058437
mt:srRNA,31.771229,3.375726,1.6168406434265748e-221,5.972021394765612e-219,0.2005852169119206
RpL39,31.214973,0.7930664,6.673891921530142e-214,2.2596685730980805e-211,0.567405962427378
Nca,30.723675,1.4116316,2.7487509594977582e-207,8.816980380346888e-205,0.3180102624994699
RpL31,30.152878,0.49159646,9.834091828481367e-200,2.9966936324339843e-197,0.7949196386921674
jim,30.067636,0.48349276,1.284196397397806e-198,3.8178219238736233e-196,0.9301132267503499
Bsg,29.995178,0.6227226,1.1342232606490928e-197,3.2151272846632077e-195,0.6948814723718247
Unr,29.813786,0.49106354,2.5890164884651865e-195,7.012782661756035e-193,0.795979814257241
mei-P26,29.256763,0.40388522,3.683420294758288e-188,9.353585411001828e-186,0.8968237140070395
Pdp1,28.686121,0.4619914,5.684330806016558e-181,1.3072888338591662e-178,0.8086595140155209
ninaE,28.07288,1.286469,2.1002753939710404e-173,4.413837375364312e-171,0.31063144056655784
