names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
mt:lrRNA,133.57654,3.0501819,0.0,0.0,0.9482634324244095
snRNA:7SKa,117.13568,2.9555128,0.0,0.0,0.8604808956363174
Cyt-c-p,82.35664,2.2194324,0.0,0.0,0.6836436113820449
RpL41,56.770584,1.1307975,0.0,0.0,0.7760061066112548
Mic10b,54.774097,3.005352,0.0,0.0,0.3706797845723252
VhaM9.7-a,44.49634,1.13479,0.0,0.0,0.599380857469997
flw,43.806503,1.3911068,0.0,0.0,0.49790085238115434
sun,41.543404,1.6099095,0.0,0.0,0.4084220346889445
CG42613,37.138256,1.0076064,6.78400236805139e-302,4.352116045483073e-299,0.5678300326534074
RNaseMRP:RNA,35.367348,4.151022,5.426242218758602e-274,2.87567245236733e-271,0.21216233408252408
mt:srRNA,31.771229,3.375726,1.6168406434265748e-221,5.972021394765612e-219,0.2005852169119206
Nca,30.723675,1.4116316,2.7487509594977582e-207,8.816980380346888e-205,0.3180102624994699
ninaE,28.07288,1.286469,2.1002753939710404e-173,4.413837375364312e-171,0.31063144056655784
28SrRNA-Psi:CR40596,27.184446,3.1377928,9.919781276663109e-163,1.9501969996975264e-160,0.17518341037275773
Tom6,21.522453,1.3437984,9.594947057928023e-103,9.508358511307698e-101,0.22280649675586278
AcCoAS,19.159672,1.2290349,8.037734251897517e-82,6.5752981742536126e-80,0.21245918324074467
pcs,18.668037,1.100665,9.01043257197279e-78,6.821625007439524e-76,0.22221279843942157
MED21,18.325146,2.177684,5.214075516718053e-75,3.7606134007855826e-73,0.1364233917136678
Alat,17.578531,1.1303447,3.5977654267931685e-69,2.39634769328863e-67,0.20580128069208262
CG32544,17.45713,1.1407874,3.0382773636991153e-68,2.0018142046555954e-66,0.20113650820575887
28SrRNA-Psi:CR45859,16.173744,1.8217961,7.7257262018055105e-59,4.339579570221538e-57,0.1323099105211823
CG5282,14.841845,1.2004801,7.856587918941233e-50,3.7262237410106883e-48,0.16042576650693355
CRMP,14.73287,1.1372597,3.965024246426212e-49,1.851711898072379e-47,0.16466646876722785
CG31360,14.331247,1.7064049,1.3959165389773647e-46,6.142536712489206e-45,0.1207752003731818
mir-9381,13.111888,1.7099563,2.8150110167078625e-39,1.0525205301427037e-37,0.11059751494847547
CG5934,10.532382,1.2182746,6.126436504950062e-26,1.5529912414880617e-24,0.10754420932106357
ND-AGGG,10.006473,1.413598,1.4275159292268627e-23,3.3461522425665824e-22,0.09380433399771002
Rab21,9.519189,1.0865341,1.7453560948417644e-21,3.745448140849695e-20,0.10648403375599
CG17724,9.507672,2.1231735,1.9497556413023853e-21,4.162096587011344e-20,0.06929307493320894
