names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,sex,cluster
mt:lrRNA,5.1612024,3.8604035,2.453688632124098e-07,0.002990801073696063,0.9230769230769231,Male,Astrocyte-like glia
mt:lrRNA,36.889618,3.0070908,6.780243455814469e-298,8.264438748292256e-294,0.9587955625990491,Male,Central brain A type 1
snRNA:7SKa,33.971348,3.116898,5.903864963683767e-253,3.5981105021170714e-249,0.8721605916534602,Male,Central brain A type 1
Cyt-c-p,27.031105,2.389962,6.370894196614216e-161,2.5884943120843562e-157,0.7707342842049657,Male,Central brain A type 1
RpL41,17.398684,1.1879646,8.442066987687748e-68,2.572508862823149e-64,0.8193343898573693,Male,Central brain A type 1
Mic10b,16.651382,3.0025618,2.956910190463532e-62,7.208355662311999e-59,0.410459587955626,Male,Central brain A type 1
VhaM9.7-a,14.258999,1.2231491,3.940693560532773e-46,6.662257134652178e-43,0.6550449022715267,Male,Central brain A type 1
CG7646,13.939004,1.1500831,3.670269226187168e-44,4.970767955332822e-41,0.6613840464870576,Male,Central brain A type 1
sun,13.801319,1.6521188,2.5023168059531394e-43,3.0500739547762815e-40,0.48177496038034867,Male,Central brain A type 1
flw,13.191343,1.4114646,9.841565972949288e-40,9.22760366494453e-37,0.5287902799788695,Male,Central brain A type 1
eIF4EHP,12.37582,1.010566,3.532679088715724e-35,2.2663066006503136e-32,0.6608557844690967,Male,Central brain A type 1
CG42613,11.381581,1.0431782,5.165455786844626e-30,2.4216054071480443e-27,0.5942947702060222,Male,Central brain A type 1
Nca,10.6859865,1.5038059,1.1838413786555085e-26,4.509325801384998e-24,0.3924986793449551,Male,Central brain A type 1
RNaseMRP:RNA,9.520491,4.3008494,1.7236348720277097e-21,3.6858570973939914e-19,0.20549392498679345,Male,Central brain A type 1
mt:srRNA,9.43586,3.2741575,3.878013758771178e-21,7.878184950943647e-19,0.21764395139989434,Male,Central brain A type 1
AcCoAS,9.12433,1.5107471,7.218142738416134e-20,1.3131633110231979e-17,0.32752245113576334,Male,Central brain A type 1
chic,8.921245,1.0013318,4.6107832261245435e-19,7.805671769893342e-17,0.4617010036978341,Male,Central brain A type 1
28SrRNA-Psi:CR40596,8.273491,3.2494478,1.3009248729314443e-16,1.8019287813819746e-14,0.19070258848388802,Male,Central brain A type 1
ninaE,7.829866,1.3843347,4.883904538251283e-15,6.074480858851519e-13,0.283148441627047,Male,Central brain A type 1
Tom6,7.3560653,1.411312,1.8941014466706414e-13,2.098836593951677e-11,0.2731114632857897,Male,Central brain A type 1
CG5282,6.6651793,1.817564,2.6434281631819734e-11,2.2851592823422038e-09,0.20813523507659798,Male,Central brain A type 1
Cdc14,6.041796,1.0323316,1.5240790371928383e-09,1.061542821962486e-07,0.27892234548335976,Male,Central brain A type 1
pcs,5.974041,1.0765419,2.314474589147902e-09,1.5567395303203914e-07,0.2636027469624934,Male,Central brain A type 1
CRMP,5.5939116,1.5529592,2.2201001723372875e-08,1.2704601408741407e-06,0.18225039619651348,Male,Central brain A type 1
MED21,5.513594,2.3324287,3.5157921762589666e-08,1.9839810572416917e-06,0.1468568409931326,Male,Central brain A type 1
28SrRNA-Psi:CR45859,5.4659677,2.0315828,4.6038821112013733e-08,2.56240726271386e-06,0.15213946117274169,Male,Central brain A type 1
CG31360,4.6322746,1.7404242,3.6167036134237387e-06,0.0001484309775892995,0.14263074484944532,Male,Central brain A type 1
AstC-R2,4.3465166,1.1084765,1.383164623514246e-05,0.0004987986271010398,0.1896460644479662,Male,Central brain A type 1
sordd1,4.269326,1.0747324,1.9606426305111778e-05,0.0006867319834281824,0.18700475435816163,Male,Central brain A type 1
mir-9381,4.2400136,1.5353742,2.2350615944237364e-05,0.0007739535731372422,0.1410459587955626,Male,Central brain A type 1
