sex,cluster,n_cells,n_sig,n_up,n_down,note
Male,Astrocyte-like glia,67,1,1,0,
Male,Central brain A type 1,3355,37,36,1,
Male,Central brain B cholinergic neurons,886,63,47,16,
Male,Central brain GABAergic neurons type 1,4479,59,57,2,
Male,Cholinergic neurons,5221,26,25,1,
Male,Dopaminergic neurons,902,35,14,21,
Male,GABAergic and monoaminergic neurons,890,11,11,0,
Male,GABAergic neurons type 3,1726,22,21,1,
Male,Glia (Gs2+),244,5,5,0,
Male,Glutamatergic neurons (subtype),377,23,16,7,
Male,Glutamatergic neurons type 1,4751,53,51,2,
Male,Glutamatergic neurons type 3,4679,23,23,0,
Male,Kenyon cells,1780,33,30,3,
Male,Neuropeptide/cholinergic neurons,4806,67,57,10,
Male,Olfactory projection neurons,835,12,9,3,
Male,Optic lobe neurons,852,21,15,6,
Male,Optic lobe type 2,640,7,7,0,
Male,Photoreceptor cells,324,5,4,1,
Male,Surface glia and fat body,300,14,12,2,
Male,Unannotated,3218,25,24,1,
Male,"Unannotated (Eaat1-high, repo-negative)",723,48,47,1,
Male,Unannotated (antennal/optic lobe mix),1154,17,16,1,
Male,Unannotated (mixed identity; excluded),1243,45,42,3,
Male,Unannotated (pigment/retinal support?),369,9,3,6,
Female,Astrocyte-like glia,76,0,0,0,
Female,Central brain A type 1,3738,4,4,0,
Female,Central brain B cholinergic neurons,2146,10,10,0,
Female,Central brain GABAergic neurons type 1,4993,9,9,0,
Female,Cholinergic neurons,3281,2,2,0,
Female,Dopaminergic neurons,1011,51,50,1,
Female,GABAergic and monoaminergic neurons,652,3,1,2,
Female,GABAergic neurons type 3,1682,32,30,2,
Female,Glia (Gs2+),282,2,2,0,
Female,Glutamatergic neurons (subtype),397,30,30,0,
Female,Glutamatergic neurons type 1,5522,9,8,1,
Female,Glutamatergic neurons type 3,2864,1,1,0,
Female,Kenyon cells,2042,63,63,0,
Female,Neuropeptide/cholinergic neurons,4252,10,10,0,
Female,Olfactory projection neurons,627,1,1,0,
Female,Optic lobe neurons,923,5,5,0,
Female,Optic lobe type 2,407,4,1,3,
Female,Photoreceptor cells,120,0,0,0,
Female,Surface glia and fat body,522,34,34,0,
Female,Unannotated,2502,18,17,1,
Female,"Unannotated (Eaat1-high, repo-negative)",1192,27,26,1,
Female,Unannotated (antennal/optic lobe mix),1067,58,58,0,
Female,Unannotated (mixed identity; excluded),1953,254,220,34,
Female,Unannotated (pigment/retinal support?),105,0,0,0,
