names,male_log2FC,female_log2FC,opposite_direction
28SrRNA-Psi:CR45859,-1.3841858,1.194876,True
Muc14A,-2.8608167,-2.6507032,False
Yp1,7.6836405,6.4530315,False
Polr2K,1.0180832,1.2275883,False
pcs,1.2803191,1.6196064,False
CG34220,4.535476,3.3859065,False
Yp2,5.217107,3.8285108,False
Cpr72Ec,-2.3356378,-2.1813521,False
Yp3,5.2338395,3.4785123,False
pkm,-1.3536074,-1.4098254,False
lncRNA:CR43264,1.9780296,2.4738126,False
lncRNA:CR34335,1.5267662,1.1435183,False
RpL41,1.1563444,1.57375,False
lncRNA:roX2,-9.620161,-9.629448,False
Pdh,-1.8452258,-2.1162114,False
ITP,1.5195438,1.1057963,False
RpL39,1.3418158,1.0908691,False
CG14645,8.594047,2.4805772,False
mnd,1.1060331,1.0067886,False
lncRNA:CR45668,1.6686127,1.9331428,False
ninaE,-1.7964885,-1.3734031,False
Tom6,1.254339,1.7217175,False
asRNA:CR45479,-2.377398,-2.2163384,False
fru,1.2933271,1.2705177,False
Arr2,-1.1166246,-1.1478057,False
lncRNA:roX1,-9.538869,-9.12459,False
Arr1,-1.3213844,-1.1228654,False
se,-1.9289072,-2.119536,False
Sxl,1.0650841,1.5879977,False
mir-9381,1.0575163,2.0619981,False
CG40472,1.3805635,3.21421,False
ND-MNLL,1.6882727,3.3327854,False
CG11768,1.2338625,1.7323264,False
lncRNA:CR45333,1.054718,3.1160152,False
Nplp3,-1.900531,-2.1017683,False
prage,1.0317447,1.0092987,False
MEP-1,1.0254873,1.0998995,False
