Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,mitochondrial ATP synthesis coupled electron transport (GO:0042775),17/72,0.0,0.0,1e-16,2.32e-14,-1.3384555759172805,63.3287022621281,ND-PDSW;COX7A;Cyt-c-p;ND-13B;ND-B22;SdhD;RFeSP;SdhB;COX5A;UQCR-C1;UQCR-C2;ND-24;ND-19;ND-39;ND-51;ND-SGDH;ND-42
GO_Biological_Process_2018,mitochondrial translation (GO:0032543),19/94,0.0,0.0,0.0,7.9e-15,-1.2296657933876125,60.97159643606005,mRpL52;CG6094;mEFTu1;mRpL38;mRpL16;mRpL48;mRpL47;mRpL14;mRpL24;mRpL1;mRpL44;mRpL22;mRpL54;mRpS9;mRpL2;mRpS16;HisRS;mRpS35;mRpS22
GO_Biological_Process_2018,respiratory electron transport chain (GO:0022904),17/77,0.0,0.0,3e-16,4.11e-14,-1.2440258104793835,57.30046725171693,ND-PDSW;COX7A;Cyt-c-p;ND-13B;ND-B22;SdhD;RFeSP;SdhB;COX5A;UQCR-C1;UQCR-C2;ND-24;ND-19;ND-39;ND-51;ND-SGDH;ND-42
GO_Biological_Process_2018,mitochondrial gene expression (GO:0140053),17/94,0.0,0.0,6.8e-15,5.709e-13,-1.3877912275864657,58.85405750148503,mRpL52;mRpL38;mRpL16;mRpL48;mRpL47;mRpL14;mRpL24;mRpL1;mRpL44;mRpL22;mRpL54;mRpS9;mRpL2;mRpS16;HisRS;mRpS35;mRpS22
KEGG_2019,Oxidative phosphorylation,25/144,0.0,0.0,0.0,0.0,-1.4284956754624456,87.3037778510124,ND-PDSW;ATPsyndelta;COX7A;ND-B22;ATPsyngamma;COX5A;sun;ATPsynD;UQCR-C2;ND-24;ND-B17.2;ND-SGDH;ND-42;ND-13B;SdhD;RFeSP;SdhB;ATPsynO;CG40472;ND-18;ND-AGGG;ND-19;NP15.6;ND-39;ND-51
GO_Biological_Process_2018,translation (GO:0006412),21/225,0.0,1.9e-15,5.18e-13,3.43982e-11,-1.1715408324178624,44.610687645442674,RpL29;RpL34a;mRpL52;mEFTu1;mRpL38;mRpL16;mRpL48;mRpL47;mRpL14;mRpL24;mRpL1;mRpL44;mRpL22;mRpL54;mRpS9;mRpL2;mRpS16;HisRS;RpL41;mRpS35;mRpS22
GO_Biological_Process_2018,peptide biosynthetic process (GO:0043043),14/94,1e-14,5.543e-13,2.1077e-11,1.1662629e-09,-1.4935338529891609,48.14308271884692,RpL34a;mRpL52;mRpL38;mRpL16;mRpL14;mRpL24;mRpL1;mRpL22;mRpS9;mRpL2;mRpS16;RpL41;mRpS35;mRpS22
GO_Biological_Process_2018,cellular protein metabolic process (GO:0044267),14/132,1.235e-12,5.85788e-11,1.2668738e-09,5.25752657e-08,-1.4273417779888231,39.137528277134,RpL34a;mRpL52;mRpL38;mRpL16;mRpL14;mRpL24;mRpL1;mRpL22;mRpS9;mRpL2;mRpS16;RpL41;mRpS35;mRpS22
GO_Biological_Process_2018,"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",9/32,1.4269e-12,5.92165e-11,7.668959e-10,3.63727788e-08,-2.004345785036634,54.669561292414784,ND-PDSW;ND-24;ND-13B;ND-19;ND-B22;ND-39;ND-51;ND-SGDH;ND-42
GO_Biological_Process_2018,gene expression (GO:0010467),15/164,1.666e-12,6.14569e-11,2.0461822e-09,7.54813904e-08,-1.0617257781500418,28.794635200444112,RpL34a;mRpL52;mRpL38;mRpL16;mRpL14;mRpL24;mRpL1;mRpL44;mRpL22;mRpS9;mRpL2;mRpS16;RpL41;mRpS35;mRpS22
GO_Biological_Process_2018,cellular macromolecule biosynthetic process (GO:0034645),15/166,1.9891e-12,6.60391e-11,2.388228e-09,7.92891699e-08,-1.3979489036101478,37.66538814429314,RpL34a;mRpL52;mEFTu1;mRpL38;mRpL16;mRpL14;mRpL24;mRpL1;mRpL22;mRpS9;mRpL2;mRpS16;RpL41;mRpS35;mRpS22
GO_Molecular_Function_2018,NADH dehydrogenase activity (GO:0003954),9/31,1.0321e-12,9.49565e-11,1.15171e-10,1.05957379e-08,-1.6869559309994429,46.55895511502212,ND-PDSW;ND-24;ND-13B;ND-19;ND-B22;ND-39;ND-51;ND-SGDH;ND-42
GO_Molecular_Function_2018,hydrogen ion transmembrane transporter activity (GO:0015078),8/58,1.15826636e-08,5.328025265e-07,2.257560056e-07,1.03847762605e-05,-2.098605196990964,38.349400091150926,UQCR-C1;ATPsynD;UQCR-C2;ATPsyndelta;ATPsyngamma;RFeSP;sun;ATPsynO
GO_Molecular_Function_2018,"proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)",5/15,6.27368591e-08,1.9239303483e-06,1.1656928053e-06,3.57479126976e-05,-2.5513723908757977,42.31276774035735,ATPsynD;ATPsyndelta;ATPsyngamma;sun;ATPsynO
GO_Biological_Process_2018,ATP synthesis coupled proton transport (GO:0015986),5/19,2.371147648e-07,7.1565547204e-06,7.2905430081e-06,0.0002200418435199,-2.512905952419171,38.333680643822746,ATPsynD;ATPsyndelta;ATPsyngamma;sun;ATPsynO
GO_Molecular_Function_2018,cation-transporting ATPase activity (GO:0019829),5/22,5.27337581e-07,1.21287643634e-05,5.75283803e-06,0.0001323152746913,-2.385475890359183,34.483067637009455,ATPsynD;ATPsyndelta;ATPsyngamma;sun;ATPsynO
GO_Biological_Process_2018,proton transport (GO:0015992),5/23,6.697574254e-07,1.71045742505e-05,1.62406602351e-05,0.0004147614767754,-2.2814125240220933,32.43335948718175,ATPsynD;ATPsyndelta;ATPsyngamma;sun;ATPsynO
GO_Biological_Process_2018,hydrogen ion transmembrane transport (GO:1902600),5/23,6.697574254e-07,1.71045742505e-05,1.62406602351e-05,0.0004147614767754,-2.1653496017227507,30.78336833370504,ATPsynD;ATPsyndelta;ATPsyngamma;sun;ATPsynO
KEGG_2019,Ribosome,11/240,2.0329475964e-06,1.93130021664e-05,0.0035018080184592,0.0332671761753629,0.8253447577082067,-10.816988037814074,mRpL16;RpL29;mRpL14;mRpL24;mRpL1;mRpL22;mRpS9;mRpL2;RpL34a;mRpS16;RpL41
GO_Biological_Process_2018,"energy coupled proton transport, down electrochemical gradient (GO:0015985)",4/14,2.8700017384e-06,6.80600412261e-05,4.88797805087e-05,0.001159149080636,-2.89243310190865,36.91091129093052,ATPsynD;ATPsyndelta;ATPsyngamma;sun
GO_Biological_Process_2018,ATP biosynthetic process (GO:0006754),4/15,3.8908253312e-06,8.61169339985e-05,6.13571270803e-05,0.0013580377460442,-2.764901149023135,34.44206741556292,ATPsynD;ATPsyndelta;ATPsyngamma;sun
GO_Biological_Process_2018,"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",4/16,5.1575328146e-06,0.0001070188059036,7.60063014961e-05,0.0015771307560442,-3.087200696833315,37.58682972693486,UQCR-C1;UQCR-C2;Cyt-c-p;RFeSP
GO_Molecular_Function_2018,NADH dehydrogenase (quinone) activity (GO:0050136),3/8,2.25270963926e-05,0.0002960704097314,0.0001481290005188,0.0019468382925328,-3.1502135638191704,33.70977912294138,ND-24;ND-18;ND-42
GO_Molecular_Function_2018,NADH dehydrogenase (ubiquinone) activity (GO:0008137),3/8,2.25270963926e-05,0.0002960704097314,0.0001481290005188,0.0019468382925328,-3.45533168948958,36.97478462634152,ND-24;ND-18;ND-42
GO_Molecular_Function_2018,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)",5/43,1.69799268891e-05,0.0002960704097314,0.0001039050454907,0.0019118528370295,-1.7410177845909802,19.12243172342395,ATPsynD;ATPsyndelta;ATPsyngamma;sun;ATPsynO
GO_Biological_Process_2018,inner mitochondrial membrane organization (GO:0007007),4/21,1.64721525666e-05,0.0003216914501245,0.0001896865221107,0.0037044661965148,-1.8776996162246544,20.680681875782163,CG6878;CG3776;Chchd3;QIL1
GO_Biological_Process_2018,inorganic cation transmembrane transport (GO:0098662),6/79,2.85118952025e-05,0.0005258860670697,0.0004733691270541,0.0087310305656661,-2.0381595702012767,21.32972548574459,ATPsynD;ATPsyndelta;ATPsyngamma;Ca-alpha1T;sun;ATPsynO
GO_Molecular_Function_2018,ubiquinol-cytochrome-c reductase activity (GO:0008121),3/11,6.52848457258e-05,0.000667356200753,0.0003198656305316,0.0032697375565458,-1.946466491947001,18.757612173458035,UQCR-C1;UQCR-C2;RFeSP
GO_Molecular_Function_2018,"oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor (GO:0016681)",3/11,6.52848457258e-05,0.000667356200753,0.0003198656305316,0.0032697375565458,-2.432565363912926,23.4420257793515,UQCR-C1;UQCR-C2;RFeSP
KEGG_2019,Citrate cycle (TCA cycle),4/43,0.0002988030708341,0.0018924194486161,0.0086497128948512,0.0547815150007244,-50.04309833651182,406.136065659541,Mdh1;Mdh2;SdhD;SdhB
GO_Biological_Process_2018,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",3/15,0.0001761027237323,0.003077163383113,0.0011394821391968,0.01991095106386,-2.5508309991379385,22.050513367568787,COX7A;Cyt-c-p;COX5A
GO_Molecular_Function_2018,ubiquinone binding (GO:0048039),2/8,0.0015188955224798,0.0116448656723452,0.0042017360350916,0.032213309602369,-1.6092667709698734,10.443774170383184,SdhD;SdhB
GO_Molecular_Function_2018,succinate dehydrogenase activity (GO:0000104),2/8,0.0015188955224798,0.0116448656723452,0.0042017360350916,0.032213309602369,-1.650011833043147,10.70820032677182,SdhD;SdhB
GO_Molecular_Function_2018,succinate dehydrogenase (ubiquinone) activity (GO:0008177),2/8,0.0015188955224798,0.0116448656723452,0.0042017360350916,0.032213309602369,-1.462227132971238,9.489520468601262,SdhD;SdhB
