Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)",2/6,5.24750163661e-05,0.0030173134410532,0.0002245837712445,0.01291356684656,-3.694479600477779,36.4097370129598,CG6999;CG32706
GO_Biological_Process_2018,rRNA 5'-end processing (GO:0000967),2/6,5.24750163661e-05,0.0030173134410532,0.0002245837712445,0.01291356684656,-3.6692826802177696,36.16141699514597,CG6999;CG32706
GO_Biological_Process_2018,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)",2/6,5.24750163661e-05,0.0030173134410532,0.0002245837712445,0.01291356684656,-2.7368129835730057,26.97176646276798,CG6999;CG32706
GO_Biological_Process_2018,small-subunit processome assembly (GO:0034462),2/6,5.24750163661e-05,0.0030173134410532,0.0002245837712445,0.01291356684656,-1.9268277757478949,18.98922180411403,CG6999;CG32706
GO_Biological_Process_2018,nervous system development (GO:0007399),5/246,9.73970839751e-05,0.0044802658628583,0.0006540871517173,0.0250733408158319,-1.0917409108862597,10.084098868649162,ct;pros;glec;fru;RabX1
GO_Biological_Process_2018,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",2/9,0.0001254874089476,0.0048103506763253,0.0004388073015849,0.0201851358729069,-2.583953004201386,23.21243828229059,CG6999;CG32706
GO_Biological_Process_2018,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",2/13,0.0002705877827036,0.0088907414316923,0.0008318076889721,0.0273308240662291,-2.8597714823815314,23.492776765000592,CG6999;CG32706
GO_Biological_Process_2018,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",2/15,0.000363380149981,0.0104471793119538,0.0010735799050402,0.0308654222699078,-1.838776782828741,14.563224334209336,CG6999;CG32706
GO_Biological_Process_2018,peripheral nervous system development (GO:0007422),3/79,0.0004529470351516,0.0115753131205429,0.0016427638836394,0.041981743693008,-1.3948683203715029,10.740116928227437,ct;pros;RabX1
KEGG_2019,Dorso-ventral axis formation,2/28,0.0012879486857077,0.0167433329142005,0.0037707740719134,0.0490200629348753,-49.327788183045385,328.2618536210119,egh;capu
GO_Biological_Process_2018,ribosomal small subunit assembly (GO:0000028),2/24,0.0009449228574139,0.0196623263371018,0.0025250037652679,0.0569184291763945,-2.5947524393285546,18.070912742368957,CG6999;CG32706
GO_Biological_Process_2018,male mating behavior (GO:0060179),3/101,0.0009274592135749,0.0196623263371018,0.0032399818840002,0.0620996527766717,-1.272663412348164,8.887087181434188,pros;egh;fru
GO_Biological_Process_2018,dendrite guidance (GO:0070983),2/25,0.0010258605045444,0.0196623263371018,0.0027221857432188,0.0569184291763945,-2.721518042921321,18.730095436001363,ct;pros
GO_Biological_Process_2018,courtship behavior (GO:0007619),3/109,0.0011561961744964,0.0204557784718597,0.0039941277193293,0.0621262414422749,-1.169437478365058,7.908461071790693,pros;egh;fru
GO_Biological_Process_2018,male courtship behavior (GO:0008049),3/113,0.0012827655107142,0.0210740048188768,0.0044081652879463,0.0633673760142281,-1.1891628395685974,7.918322570853569,pros;egh;fru
GO_Biological_Process_2018,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),2/29,0.0013816970009309,0.0211860206809412,0.0035809023715127,0.0621262414422749,-1.9656239905491808,12.942538780174816,glec;beat-Ic
GO_Biological_Process_2018,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",2/31,0.0015787012578613,0.0226938305817563,0.0040517113984092,0.0621262414422749,-1.9186657048189932,12.377605554582829,CG6999;CG32706
GO_Biological_Process_2018,dendrite morphogenesis (GO:0048813),3/141,0.0024155470498647,0.0326809306746404,0.0080382317353142,0.1027107388401268,-1.1713088573518458,7.058107461377183,ct;pros;fru
GO_Biological_Process_2018,muscle organ development (GO:0007517),2/43,0.0030220462044597,0.0386150348347635,0.0074377002289361,0.1006277089797245,-1.5062408264452185,8.73893984753868,pcs;fru
GO_Biological_Process_2018,cell morphogenesis involved in neuron differentiation (GO:0048667),3/160,0.003451989316823,0.0417872390983839,0.0112744043365891,0.1296556498707748,-0.9574442808622166,5.42756454411695,ct;pros;fru
GO_Biological_Process_2018,neuron development (GO:0048666),2/49,0.0039075728696995,0.0448116454649449,0.0094780428484378,0.1147342029021425,-1.531345039304305,8.491061462351,egh;fru
GO_Biological_Process_2018,central nervous system development (GO:0007417),3/170,0.0040914980641906,0.0448116454649449,0.0132411507387074,0.1296991997057728,-1.2156205822860937,6.684508068111794,ct;pros;fru
GO_Biological_Process_2018,neuron projection morphogenesis (GO:0048812),3/180,0.0047987517046396,0.0501687678212322,0.0153939343157294,0.1296991997057728,-1.1271485775654864,6.018296502361761,ct;pros;fru
GO_Biological_Process_2018,negative regulation of transcription from RNA polymerase II promoter (GO:0000122),3/192,0.0057397031136811,0.0573970311368113,0.0182263307522836,0.1296991997057728,-1.1505995610041078,5.937493904498961,Dsp1;ct;pros
GO_Biological_Process_2018,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),2/64,0.0065798475627434,0.0630568724762911,0.0155297594617125,0.1296991997057728,-1.7637023862497256,8.860388752777972,glec;beat-Ic
GO_Biological_Process_2018,axonogenesis (GO:0007409),3/212,0.0075395678582122,0.0693640242955531,0.0235583319990809,0.1296991997057728,-1.0515539544368688,5.139565025237216,pros;egh;beat-Ic
GO_Biological_Process_2018,defasciculation of motor neuron axon (GO:0007415),1/9,0.0169739838271375,0.0698998717500024,0.0287480148279114,0.1296991997057728,-2.3923235703992543,9.7512866375275,beat-Ic
GO_Biological_Process_2018,epithelial tube formation (GO:0072175),1/8,0.0151019286709208,0.0698998717500024,0.0259091794407358,0.1296991997057728,-2.86263719811782,12.00284545048486,ct
GO_Biological_Process_2018,cation homeostasis (GO:0055080),1/8,0.0151019286709208,0.0698998717500024,0.0259091794407358,0.1296991997057728,-2.9365027213584813,12.312558626908263,MtnA
GO_Biological_Process_2018,compartment pattern specification (GO:0007386),1/10,0.0188425741239137,0.0698998717500024,0.031578935580536,0.1296991997057728,-3.334572971803895,13.243711354545033,ct
GO_Biological_Process_2018,mitochondrial respiratory chain complex III biogenesis (GO:0097033),1/6,0.0113473987566938,0.0698998717500024,0.0202076802349097,0.1296991997057728,-3.141376690520276,14.069493457388177,ox
