Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,regulation of multicellular organismal development (GO:2000026),4/48,6.7165949978e-06,0.0022836422992729,9.3214335239e-05,0.0316928739812615,-1.9277682059685533,22.961510670417656,sty;Top1;Yp3;numb
GO_Biological_Process_2018,regulation of response to wounding (GO:1903034),2/6,9.50066229832e-05,0.0112873325186053,0.0005849591443508,0.0701127285676063,-4.734882547935172,43.85241752850087,Cbp53E;Rok
GO_Biological_Process_2018,negative regulation of response to wounding (GO:1903035),2/7,0.0001327921472777,0.0112873325186053,0.0007498762858347,0.0701127285676063,-4.702980803036707,41.982218447034654,Cbp53E;Rok
GO_Biological_Process_2018,negative regulation of response to stimulus (GO:0048585),3/37,0.0001141724337606,0.0112873325186053,0.0008248556302071,0.0701127285676063,-1.8495366486557308,16.78972503855557,sty;Cbp53E;Rok
GO_Biological_Process_2018,muscle cell fate specification (GO:0042694),2/9,0.0002269012611834,0.0154292857604765,0.0011389118420072,0.0774460052564939,-3.663742387228471,30.7424462796048,pcs;numb
GO_Biological_Process_2018,regulation of protein modification process (GO:0031399),2/13,0.0004884195759515,0.0276771093039185,0.0021488277638346,0.1217669066172958,-2.9167690005387548,22.238426120760906,CG17124;Rok
GO_Biological_Process_2018,muscle cell fate commitment (GO:0042693),2/16,0.0007477458253765,0.0363190829468613,0.0031036387928875,0.1507481699402512,-2.8570688803122586,20.56646017705328,pcs;numb
GO_Biological_Process_2018,mitotic sister chromatid segregation (GO:0000070),3/76,0.0009631834535526,0.0399919578559266,0.0058261033376057,0.1980875134785944,-1.3328562448102503,9.257042042556185,bel;luna;Rok
GO_Biological_Process_2018,negative regulation of female receptivity (GO:0007621),2/19,0.0010603377650361,0.0399919578559266,0.0042225005170656,0.1749536814996043,-2.930367842522426,20.070580996939853,SPR;SIFa
GO_Biological_Process_2018,regulation of organelle organization (GO:0033043),2/20,0.001176234054586,0.0399919578559266,0.0046311268632248,0.1749536814996043,-2.245541191437217,15.14715758828268,Asap;stai
GO_Biological_Process_2018,compound eye development (GO:0048749),4/198,0.0016189421531263,0.0500400301875417,0.0140807491975072,0.2022004019694112,-1.1329183398153897,7.280113238568772,bi;sty;Stat92E;Asap
GO_Biological_Process_2018,female gamete generation (GO:0007292),4/208,0.0019380153411329,0.0549104346654337,0.0165505178925099,0.2022004019694112,-0.983497198042564,6.143012849284784,bel;Stat92E;Top1;capu
GO_Biological_Process_2018,oogenesis (GO:0048477),4/216,0.0022228253578468,0.0572672991268945,0.0187121600697477,0.2022004019694112,-1.0928522246907024,6.676208240105836,bel;Stat92E;Top1;capu
GO_Biological_Process_2018,neuroblast fate commitment (GO:0014017),2/31,0.0028275698970784,0.0572672991268945,0.0102494302619455,0.2022004019694112,-2.4147755536848146,14.170718249275856,nkd;numb
GO_Biological_Process_2018,regulation of cytoskeleton organization (GO:0051493),2/33,0.003200231421797,0.0572672991268945,0.0114826057383353,0.2022004019694112,-1.966982040245585,11.299391573541069,Rok;stai
GO_Biological_Process_2018,regulation of nervous system development (GO:0051960),2/33,0.003200231421797,0.0572672991268945,0.0114826057383353,0.2022004019694112,-2.8820991241826666,16.556311085501182,Sidpn;numb
GO_Biological_Process_2018,pole plasm oskar mRNA localization (GO:0045451),2/33,0.003200231421797,0.0572672991268945,0.0114826057383353,0.2022004019694112,-2.1972226709708718,12.6220162795497,Pat1;capu
GO_Biological_Process_2018,regulation of cell development (GO:0060284),2/33,0.003200231421797,0.0572672991268945,0.0114826057383353,0.2022004019694112,-2.6724631860311714,15.352050698474653,Sidpn;numb
