Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
KEGG_2019,Oxidative phosphorylation,7/144,4.9210375e-09,5.41314131e-08,4.0021971649e-06,4.40241688143e-05,-1.4284956754624456,27.326760065513493,ATPsynD;UQCR-C2;ND-B22;VhaM9.7-a;SdhB;COX5A;sun
GO_Biological_Process_2018,mitochondrial ATP synthesis coupled electron transport (GO:0042775),6/72,2.6299707e-09,2.736695203e-07,5.01621868e-08,5.0420004244e-06,-1.3397276121227302,26.468051393964952,UQCR-C1;UQCR-C2;Cyt-c-p;ND-B22;SdhB;COX5A
GO_Biological_Process_2018,respiratory electron transport chain (GO:0022904),6/77,3.9662249e-09,2.736695203e-07,7.30724699e-08,5.0420004244e-06,-1.24511101166966,24.087234182002643,UQCR-C1;UQCR-C2;Cyt-c-p;ND-B22;SdhB;COX5A
GO_Biological_Process_2018,"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",3/16,2.7067344248e-06,0.0001245097835424,1.76494473179e-05,0.0008118745766236,-3.1135542805188297,39.91504246983089,UQCR-C1;UQCR-C2;Cyt-c-p
GO_Molecular_Function_2018,hydrogen ion transmembrane transporter activity (GO:0015078),4/58,3.1172192707e-06,0.0001340404286436,2.91533661594e-05,0.0012535947448549,-2.1134216697175314,26.795162915588605,ATPsynD;UQCR-C1;UQCR-C2;sun
GO_Biological_Process_2018,proteasomal ubiquitin-independent protein catabolic process (GO:0010499),3/26,1.24170723441e-05,0.0004283889958733,6.5363495581e-05,0.0022550405975473,-2.1870104822509657,24.70542882182784,Prosbeta4;Prosbeta5;Prosbeta3
KEGG_2019,Proteasome,3/52,0.000102305173847,0.0005626784561587,0.0023953956341866,0.0131746759880266,-13.96705208328868,128.3229937122096,Prosbeta4;Prosbeta5;Prosbeta3
GO_Biological_Process_2018,protein catabolic process (GO:0030163),3/40,4.63991406116e-05,0.0012806162808802,0.0002152499600749,0.0059408988980682,-1.6086918081507409,16.05189624987127,Prosbeta4;Prosbeta5;Prosbeta3
GO_Molecular_Function_2018,ubiquinol-cytochrome-c reductase activity (GO:0008121),2/11,0.0001620208064804,0.0013918474504748,0.000659150434515,0.0066016468057416,-1.9649201282666104,17.149401985592,UQCR-C1;UQCR-C2
GO_Molecular_Function_2018,"2 iron, 2 sulfur cluster binding (GO:0051537)",2/9,0.000106283525123,0.0013918474504748,0.0004664529670203,0.0066016468057416,-3.5190057881233723,32.196792505733576,SdhB;IscU
GO_Molecular_Function_2018,"4 iron, 4 sulfur cluster binding (GO:0051539)",2/12,0.0001942112721592,0.0013918474504748,0.0007676333495048,0.0066016468057416,-1.5221865633443377,13.009464822244116,SdhB;IscU
GO_Molecular_Function_2018,endopeptidase activity (GO:0004175),5/290,0.0001407389606751,0.0013918474504748,0.0014444476880367,0.0088730357979398,-1.1148027756570205,9.886744050134626,Prosbeta4;UQCR-C1;Prosbeta5;UQCR-C2;Prosbeta3
GO_Molecular_Function_2018,"oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor (GO:0016681)",2/11,0.0001620208064804,0.0013918474504748,0.000659150434515,0.0066016468057416,-2.473146164478672,21.585089965557604,UQCR-C1;UQCR-C2
GO_Molecular_Function_2018,"proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)",2/15,0.0003079550128468,0.0018917236503451,0.0011410884930543,0.0081778008668895,-2.526307023722004,20.42659905541249,ATPsynD;sun
GO_Molecular_Function_2018,"peptidase activity, acting on L-amino acid peptides (GO:0070011)",3/79,0.000354422073456,0.0019050186448265,0.001765620211056,0.0094902086344264,-1.524468877770467,12.111938859332051,Prosbeta4;Prosbeta5;Prosbeta3
GO_Biological_Process_2018,proteolysis involved in cellular protein catabolic process (GO:0051603),3/52,0.000102305173847,0.002353018998482,0.000447785770756,0.0102990727273887,-2.64626149430283,24.312660615090078,Prosbeta4;Prosbeta5;Prosbeta3
GO_Molecular_Function_2018,cation-transporting ATPase activity (GO:0019829),2/22,0.0006723092764393,0.0032121443207658,0.002286919456037,0.0109263929566216,-2.3428362283633084,17.113931550329816,ATPsynD;sun
GO_Molecular_Function_2018,metalloendopeptidase activity (GO:0004222),2/24,0.0008015158425258,0.0034465181228611,0.0026833169168831,0.0115382627425973,-2.159461890950068,15.39481638868174,UQCR-C1;UQCR-C2
GO_Biological_Process_2018,"energy coupled proton transport, down electrochemical gradient (GO:0015985)",2/14,0.0002671879262162,0.004249779177287,0.0008676783441075,0.0135476173938116,-2.9079717040838826,23.925506740682916,ATPsynD;sun
GO_Biological_Process_2018,ATP metabolic process (GO:0046034),2/14,0.0002671879262162,0.004249779177287,0.0008676783441075,0.0135476173938116,-3.9292824124937233,32.32840014025584,ATPsynD;Cyt-c-p
GO_Biological_Process_2018,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",2/15,0.0003079550128468,0.004249779177287,0.0009817114053486,0.0135476173938116,-2.567418593197426,20.75900898751012,Cyt-c-p;COX5A
GO_Biological_Process_2018,ATP biosynthetic process (GO:0006754),2/15,0.0003079550128468,0.004249779177287,0.0009817114053486,0.0135476173938116,-2.7766172869339574,22.4504969182116,ATPsynD;sun
GO_Biological_Process_2018,aerobic respiration (GO:0009060),2/16,0.000351561909764,0.0044105039588583,0.0011025641369925,0.0138321682640885,-2.850007581748609,22.66646578486694,UQCR-C1;SdhB
GO_Biological_Process_2018,ATP synthesis coupled proton transport (GO:0015986),2/19,0.0004993266425756,0.0057422563896198,0.001505687201386,0.01731540281594,-2.511237660804148,19.09105671283568,ATPsynD;sun
GO_Biological_Process_2018,proteasomal protein catabolic process (GO:0010498),3/94,0.0005900798503384,0.006263924565131,0.0023329977106525,0.0214635789380038,-1.94968461936462,14.496397812079769,Prosbeta4;Prosbeta5;Prosbeta3
GO_Biological_Process_2018,hydrogen ion transmembrane transport (GO:1902600),2/23,0.0007355303087443,0.0067668788404479,0.0021365283256939,0.0210600649246972,-2.162310834432679,15.600897113318668,ATPsynD;sun
GO_Biological_Process_2018,proton transport (GO:0015992),2/23,0.0007355303087443,0.0067668788404479,0.0021365283256939,0.0210600649246972,-2.276959292989755,16.428076433547524,ATPsynD;sun
GO_Molecular_Function_2018,metallopeptidase activity (GO:0008237),2/36,0.0018056063974415,0.0070582795536352,0.0056810892418696,0.0222078943091266,-1.950445268770235,12.320687339189146,UQCR-C1;UQCR-C2
GO_Molecular_Function_2018,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)",2/43,0.0025682456987223,0.0092028804204216,0.0079010481615052,0.0283120892453937,-1.6898468548064325,10.079146013471613,ATPsynD;sun
GO_Biological_Process_2018,cellular respiration (GO:0045333),2/35,0.0017071667416568,0.0147243131467906,0.0046482118107168,0.0400908268674328,-1.9186864907605912,12.227635815441204,UQCR-C1;SdhB
GO_Biological_Process_2018,protein maturation (GO:0051604),2/37,0.0019066912472742,0.0154778465955201,0.0051542860060027,0.0418406746369637,-2.6975694376929478,16.893220731070578,UQCR-C1;UQCR-C2
GO_Biological_Process_2018,protein processing (GO:0016485),2/46,0.0029340071410284,0.0213101571295751,0.007728365608688,0.059250802999942,-2.044430589686806,11.921864256771029,UQCR-C1;UQCR-C2
GO_Biological_Process_2018,ubiquitin-dependent protein catabolic process (GO:0006511),3/164,0.0029224327160495,0.0213101571295751,0.0106347509423556,0.0772418752655307,-1.177960410273695,6.8737981901476255,Prosbeta4;Prosbeta5;Prosbeta3
GO_Biological_Process_2018,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),3/178,0.0036800607577553,0.0253924192285117,0.013221850074932,0.0787089304907326,-1.114328053175604,6.2456148635527615,Prosbeta4;Prosbeta5;Prosbeta3
GO_Molecular_Function_2018,ferrous iron binding (GO:0008198),1/7,0.0121876934330445,0.0373701200179207,0.0239250938597801,0.0712398427713245,-3.9581790494050777,17.444995614981096,IscU
GO_Molecular_Function_2018,"oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)",1/9,0.0156433060540133,0.0373701200179207,0.0298213295321823,0.0712398427713245,-3.3610936599571883,13.97446005375739,SdhB
GO_Molecular_Function_2018,succinate dehydrogenase (ubiquinone) activity (GO:0008177),1/8,0.0139169702175442,0.0373701200179207,0.0268774293181183,0.0712398427713245,-1.434663295313023,6.132678153586424,SdhB
GO_Molecular_Function_2018,succinate dehydrogenase activity (GO:0000104),1/8,0.0139169702175442,0.0373701200179207,0.0268774293181183,0.0712398427713245,-1.614600054246213,6.901844155213276,SdhB
GO_Molecular_Function_2018,G-protein coupled photoreceptor activity (GO:0008020),1/9,0.0156433060540133,0.0373701200179207,0.0298213295321823,0.0712398427713245,-1.5383752017200378,6.396121316179408,ninaE
GO_Molecular_Function_2018,ubiquinone binding (GO:0048039),1/8,0.0139169702175442,0.0373701200179207,0.0268774293181183,0.0712398427713245,-1.5775664504543632,6.743538597620197,SdhB
GO_Biological_Process_2018,L-phenylalanine metabolic process (GO:0006558),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-3.8412229926118737,17.51839647943002,Dhpr
GO_Biological_Process_2018,regulation of mitochondrial membrane potential (GO:0051881),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-4.3567275907424525,19.86942216952674,ATPsynD
GO_Biological_Process_2018,protein processing involved in protein targeting to mitochondrion (GO:0006627),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-2.257988173163084,10.29784840385903,UQCR-C2
GO_Biological_Process_2018,inorganic cation transmembrane transport (GO:0098662),2/79,0.0084242982582819,0.0437228780595667,0.0210034426639164,0.0787089304907326,-2.025881870311507,9.676898448154212,ATPsynD;sun
GO_Biological_Process_2018,tetrahydrobiopterin metabolic process (GO:0046146),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-4.835658011654956,22.05364657298961,Dhpr
GO_Biological_Process_2018,regulation of cytokinetic process (GO:0032954),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-3.783094407130366,17.253293513730785,flw
GO_Biological_Process_2018,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-3.828140652433852,17.45873276749292,Dhpr
GO_Biological_Process_2018,muscle tissue development (GO:0060537),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-4.580750441358939,20.891107483058413,flw
GO_Biological_Process_2018,optomotor response (GO:0071632),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-3.963341953374679,18.075335864728277,ninaE
GO_Biological_Process_2018,purine ribonucleoside monophosphate metabolic process (GO:0009167),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-5.690733578004769,25.953329778052307,ATPsynD
GO_Biological_Process_2018,L-phenylalanine catabolic process (GO:0006559),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-4.371055332189219,19.934765695742737,Dhpr
GO_Biological_Process_2018,positive regulation of microtubule polymerization or depolymerization (GO:0031112),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-3.9565892722925415,18.04453938539772,Jupiter
GO_Biological_Process_2018,tetrahydrobiopterin biosynthetic process (GO:0006729),1/6,0.0104554708403311,0.0437228780595667,0.0193388499538787,0.0787089304907326,-2.618511712825103,11.9420628428839,Dhpr
GO_Biological_Process_2018,mitochondrial protein processing (GO:0034982),1/8,0.0139169702175442,0.0449745049052883,0.0247983308118277,0.0787089304907326,-3.655762164091685,15.62709022505609,UQCR-C2
GO_Biological_Process_2018,cristae formation (GO:0042407),1/9,0.0156433060540133,0.0449745049052883,0.0275171797183132,0.0787089304907326,-3.312978870929133,13.774412609296684,QIL1
GO_Biological_Process_2018,aromatic amino acid family catabolic process (GO:0009074),1/9,0.0156433060540133,0.0449745049052883,0.0275171797183132,0.0787089304907326,-3.7815522400601167,15.722605814141456,Dhpr
GO_Biological_Process_2018,posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620),1/8,0.0139169702175442,0.0449745049052883,0.0247983308118277,0.0787089304907326,-2.52640119464867,10.799471530521076,CG1598
GO_Biological_Process_2018,iron ion homeostasis (GO:0055072),1/9,0.0156433060540133,0.0449745049052883,0.0275171797183132,0.0787089304907326,-3.151507509489365,13.103061162846778,IscU
GO_Biological_Process_2018,regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),1/9,0.0156433060540133,0.0449745049052883,0.0275171797183132,0.0787089304907326,-3.633558433353449,15.107290161184569,Cyt-c-p
GO_Biological_Process_2018,negative regulation of MAPK cascade (GO:0043409),1/9,0.0156433060540133,0.0449745049052883,0.0275171797183132,0.0787089304907326,-3.66761938898976,15.248905811353175,ATPsynD
GO_Biological_Process_2018,detection of light stimulus (GO:0009583),1/8,0.0139169702175442,0.0449745049052883,0.0247983308118277,0.0787089304907326,-4.137947654832051,17.688262651158066,ninaE
GO_Biological_Process_2018,oxidative phosphorylation (GO:0006119),1/8,0.0139169702175442,0.0449745049052883,0.0247983308118277,0.0787089304907326,-4.807490378593164,20.550320981023283,Cyt-c-p
GO_Biological_Process_2018,cellular iron ion homeostasis (GO:0006879),1/8,0.0139169702175442,0.0449745049052883,0.0247983308118277,0.0787089304907326,-3.992691092992721,17.06734222587962,IscU
GO_Biological_Process_2018,negative regulation of compound eye retinal cell programmed cell death (GO:0046673),1/9,0.0156433060540133,0.0449745049052883,0.0275171797183132,0.0787089304907326,-3.73428762407024,15.526093144478114,ninaE
GO_Biological_Process_2018,regulation of G-protein coupled receptor protein signaling pathway (GO:0008277),1/8,0.0139169702175442,0.0449745049052883,0.0247983308118277,0.0787089304907326,-2.042879541048194,8.732587480786854,sun
GO_Biological_Process_2018,detection of UV (GO:0009589),1/7,0.0121876934330445,0.0449745049052883,0.0220722270348875,0.0787089304907326,-1.354950594408875,5.971712467512444,ninaE
GO_Biological_Process_2018,negative regulation of retinal cell programmed cell death (GO:0046671),1/9,0.0156433060540133,0.0449745049052883,0.0275171797183132,0.0787089304907326,-3.583303795035407,14.898345839263932,ninaE
GO_Biological_Process_2018,"positive regulation of DNA-templated transcription, initiation (GO:2000144)",1/7,0.0121876934330445,0.0449745049052883,0.0220722270348875,0.0787089304907326,-4.670735218524339,20.58546477783556,Ssb-c31a
GO_Biological_Process_2018,purine ribonucleotide metabolic process (GO:0009150),1/10,0.0173667057968336,0.0452189698106233,0.0302287921449915,0.0787089304907326,-3.0453432436956662,12.343386349080658,ATPsynD
GO_Biological_Process_2018,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),1/10,0.0173667057968336,0.0452189698106233,0.0302287921449915,0.0787089304907326,-2.9380275157780087,11.908414201437637,ninaE
GO_Biological_Process_2018,"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)",1/10,0.0173667057968336,0.0452189698106233,0.0302287921449915,0.0787089304907326,-3.5573042809511084,14.418467012517205,SdhB
GO_Biological_Process_2018,positive regulation of cysteine-type endopeptidase activity (GO:2001056),1/10,0.0173667057968336,0.0452189698106233,0.0302287921449915,0.0787089304907326,-3.573527675928765,14.48422368297381,Cyt-c-p
GO_Biological_Process_2018,pteridine-containing compound biosynthetic process (GO:0042559),1/10,0.0173667057968336,0.0452189698106233,0.0302287921449915,0.0787089304907326,-4.220752200526824,17.107554362775584,Dhpr
GO_Molecular_Function_2018,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)",1/12,0.0208047163897966,0.0470843581453293,0.0386026452908876,0.0873638814477984,-3.060761213565266,11.853029096570973,Dhpr
GO_Biological_Process_2018,protein targeting to ER (GO:0045047),1/11,0.0190871742967954,0.0487783343140329,0.0329331864371906,0.0841625875617094,-3.207023620535149,12.695768429509013,CG1598
GO_Biological_Process_2018,regulation of adult chitin-containing cuticle pigmentation (GO:0048082),1/13,0.0225193369078935,0.0565030635143511,0.0383203937806221,0.0961493516677427,-2.835460330002445,10.755981117322223,Hr38
GO_Biological_Process_2018,regulation of chitin-based cuticle tanning (GO:0007564),1/14,0.0242310406772131,0.0586646247974635,0.0410032433040539,0.0992710101045516,-2.687418037755933,9.997519727460976,Hr38
GO_Biological_Process_2018,rhodopsin mediated signaling pathway (GO:0016056),1/14,0.0242310406772131,0.0586646247974635,0.0410032433040539,0.0992710101045516,-3.06393189599332,11.398196761144185,ninaE
GO_Molecular_Function_2018,ATPase activity (GO:0016887),2/148,0.0275920836942701,0.0593229799426807,0.074030321978709,0.1515858973849756,-1.016506376144764,3.649487996981152,CG1598;sun
GO_Biological_Process_2018,striated muscle tissue development (GO:0014706),1/16,0.0276457172178356,0.0615340157429245,0.0463475248985847,0.1031606199355595,-2.5359039431124843,9.09954470015565,flw
GO_Biological_Process_2018,positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261),1/16,0.0276457172178356,0.0615340157429245,0.0463475248985847,0.1031606199355595,-2.9234177803375965,10.490054578629522,Ssb-c31a
GO_Biological_Process_2018,regulation of cuticle pigmentation (GO:0048079),1/16,0.0276457172178356,0.0615340157429245,0.0463475248985847,0.1031606199355595,-2.6936274095899844,9.665501363212051,Hr38
GO_Biological_Process_2018,regulation of mitochondrion organization (GO:0010821),1/15,0.025939832510578,0.0615340157429245,0.0436789476344004,0.1031606199355595,-2.5369534641343447,9.264892040051588,QIL1
GO_Biological_Process_2018,regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),1/16,0.0276457172178356,0.0615340157429245,0.0463475248985847,0.1031606199355595,-2.9346225084870228,10.530260330478171,Ssb-c31a
GO_Biological_Process_2018,metallo-sulfur cluster assembly (GO:0031163),1/17,0.0293486995948765,0.0632831335014525,0.0490089931788515,0.1056756415418985,-2.848376983095246,10.050518238872868,IscU
GO_Biological_Process_2018,iron-sulfur cluster assembly (GO:0016226),1/17,0.0293486995948765,0.0632831335014525,0.0490089931788515,0.1056756415418985,-2.924713452157353,10.31987200740604,IscU
GO_Biological_Process_2018,canonical Wnt signaling pathway (GO:0060070),1/19,0.0327459765470238,0.0664550700513131,0.0543106748974908,0.1102187225860844,-2.446541567553493,8.364664891346939,flw
GO_Biological_Process_2018,cellular transition metal ion homeostasis (GO:0046916),1/19,0.0327459765470238,0.0664550700513131,0.0543106748974908,0.1102187225860844,-2.6354997089544376,9.010708086472864,IscU
