Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
KEGG_2019,Oxidative phosphorylation,13/144,3e-16,6.5e-15,4.04081e-11,8.48572e-10,-1.4284956754624456,51.005371204057234,ND-PDSW;ATPsyngamma;VhaM9.7-a;SdhB;sun;levy;ATPsynD;UQCR-C2;ND-19;ND-AGGG;COX4;ND-39;ATPsynB
GO_Biological_Process_2018,respiratory electron transport chain (GO:0022904),8/77,7.23739e-11,9.3000582e-09,4.758346e-09,6.114474724e-07,-1.24511101166966,29.072313760146905,ND-PDSW;UQCR-C2;Cyt-c-p;ND-19;COX4;ND-39;SdhB;levy
GO_Biological_Process_2018,mitochondrial ATP synthesis coupled electron transport (GO:0042775),8/72,4.1647e-11,9.3000582e-09,2.9152393e-09,6.114474724e-07,-1.3397276121227302,32.02188960270084,ND-PDSW;UQCR-C2;Cyt-c-p;ND-19;COX4;ND-39;SdhB;levy
GO_Biological_Process_2018,"energy coupled proton transport, down electrochemical gradient (GO:0015985)",4/14,7.1616275e-08,6.135127563e-06,1.3165894072e-06,0.0001067802819083,-2.9209205392299094,48.05481963139327,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Biological_Process_2018,ATP biosynthetic process (GO:0006754),4/15,9.74398721e-08,6.2605117852e-06,1.6619499129e-06,0.0001067802819083,-2.786380735192976,44.9834151420504,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Molecular_Function_2018,"proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)",4/15,9.74398721e-08,7.0156707943e-06,1.6555457223e-06,0.0001191992920122,-2.563905074452695,41.391761324005714,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Biological_Process_2018,ATP synthesis coupled proton transport (GO:0015986),4/19,2.742167298e-07,1.40947399156e-05,3.7449348936e-06,0.0001924896535343,-2.522915702109311,38.11960894193621,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Molecular_Function_2018,cation-transporting ATPase activity (GO:0019829),4/22,5.140491476e-07,1.85057693155e-05,6.2372127312e-06,0.0002245396583258,-2.4025317551575323,34.79093491149064,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Molecular_Function_2018,hydrogen ion transmembrane transporter activity (GO:0015078),5/58,8.314521758e-07,1.99548522194e-05,1.08859097087e-05,0.0002612618330096,-2.083788724264397,29.17323396397768,ATPsynD;UQCR-C2;ATPsyngamma;sun;ATPsynB
GO_Biological_Process_2018,proton transport (GO:0015992),4/23,6.208771729e-07,2.27950619214e-05,7.320746416e-06,0.0002687759755594,-2.294772217119108,32.79718873054554,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Biological_Process_2018,hydrogen ion transmembrane transport (GO:1902600),4/23,6.208771729e-07,2.27950619214e-05,7.320746416e-06,0.0002687759755594,-2.174465903592965,31.07775494938072,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Molecular_Function_2018,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)",4/43,8.2739846062e-06,0.0001489317229123,6.93484754334e-05,0.0012482725578021,-1.7483279174173445,20.45962274347402,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Biological_Process_2018,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",3/15,1.13833711533e-05,0.0003656907983017,7.92496543938e-05,0.0025458951474023,-2.5711047252106454,29.267802812610515,Cyt-c-p;COX4;levy
GO_Molecular_Function_2018,NADH dehydrogenase activity (GO:0003954),3/31,0.0001086796712701,0.0015649872662907,0.0005574362649748,0.0080270822156382,-1.6711539903074513,15.25279927455423,ND-PDSW;ND-19;ND-39
GO_Biological_Process_2018,inorganic cation transmembrane transport (GO:0098662),4/79,9.29432414631e-05,0.0026540458951136,0.0006323575317095,0.0162515885649366,-2.074992669870587,19.26323918337781,ATPsynD;ATPsyngamma;sun;ATPsynB
GO_Biological_Process_2018,"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",3/32,0.0001196667706498,0.0030754360057007,0.000600833740446,0.0162515885649366,-2.001129968991556,18.071803701913502,ND-PDSW;ND-19;ND-39
GO_Molecular_Function_2018,poly(A) binding (GO:0008143),2/9,0.0003143311181267,0.0037719734175213,0.0012196863586494,0.0146362363037937,-3.709440797408652,29.91687599360235,Sxl;ssx
GO_Molecular_Function_2018,poly-purine tract binding (GO:0070717),2/10,0.0003921552788073,0.0040335971534472,0.0014592193208594,0.0150091130145539,-3.835124848531484,30.08215431055696,Sxl;ssx
GO_Molecular_Function_2018,poly(U) RNA binding (GO:0008266),2/12,0.0005729429191197,0.0051564862720773,0.0019998681179037,0.0179988130611335,-1.6769696115449215,12.518116084354991,Sxl;ssx
GO_Biological_Process_2018,cytoplasmic translation (GO:0002181),4/107,0.000299889470661,0.0070065085418092,0.0018722513703281,0.0437426001976663,-1.3098833102389649,10.625899924234288,RpL29;RpL39;RpL22;RpL41
GO_Molecular_Function_2018,poly-pyrimidine tract binding (GO:0008187),2/17,0.0011692679233233,0.0093541433865867,0.0037018628325798,0.0296149026606389,-2.5056123008165594,16.916334342502104,Sxl;ssx
GO_Biological_Process_2018,ATP metabolic process (GO:0046034),2/14,0.0007869214352033,0.016853234070604,0.0025809392429964,0.0552751154541748,-3.917439019744247,27.999433694970307,ATPsynD;Cyt-c-p
GO_Biological_Process_2018,"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",2/16,0.0010336999257086,0.0189757772076515,0.0032708522064284,0.0600435012180084,-3.0912550943233943,21.25117550941162,UQCR-C2;Cyt-c-p
GO_Biological_Process_2018,aerobic respiration (GO:0009060),2/16,0.0010336999257086,0.0189757772076515,0.0032708522064284,0.0600435012180084,-2.8461941483540625,19.566476895292045,SdhB;levy
GO_Molecular_Function_2018,mRNA 3'-UTR binding (GO:0003730),2/38,0.0058045750195278,0.0417929401406006,0.0158548635996424,0.1141550179174259,-1.93980288847498,9.988256270534976,Sxl;ssx
GO_Biological_Process_2018,regulation of imaginal disc-derived wing size (GO:0044719),2/27,0.0029601294615716,0.0507168847749278,0.008396038177238,0.1438521207700118,-2.368585302759995,13.79114068457508,Myc;fru
KEGG_2019,Ribosome,4/240,0.0058302625916746,0.0612177572125842,0.1356392878754123,0.6315215425470078,0.8253447577082067,-4.246145594149082,RpL29;RpL39;RpL22;RpL41
GO_Molecular_Function_2018,succinate dehydrogenase activity (GO:0000104),1/8,0.023753619954611,0.0738928552409981,0.0429068774182756,0.136981707586591,-1.5968941648477455,5.972416658914196,SdhB
GO_Molecular_Function_2018,succinate dehydrogenase (ubiquinone) activity (GO:0008177),1/8,0.023753619954611,0.0738928552409981,0.0429068774182756,0.136981707586591,-1.4208813764839154,5.314125250161816,SdhB
GO_Molecular_Function_2018,G-protein coupled photoreceptor activity (GO:0008020),1/9,0.0266835310592493,0.0738928552409981,0.0475630929120107,0.136981707586591,-1.5131542822872874,5.483230364622028,ninaE
GO_Molecular_Function_2018,calcium ion binding (GO:0005509),2/84,0.0263603112783823,0.0738928552409981,0.064801086682057,0.1555226080369369,-1.1550387496942316,4.199600493431737,Frq1;Nca
GO_Molecular_Function_2018,hexokinase activity (GO:0004396),1/9,0.0266835310592493,0.0738928552409981,0.0475630929120107,0.136981707586591,-3.080449125916169,11.162650353382825,Hex-A
GO_Molecular_Function_2018,Rac guanyl-nucleotide exchange factor activity (GO:0030676),1/7,0.0208150365588842,0.0738928552409981,0.0382286875386979,0.136981707586591,-2.9487824491803827,11.417920490054142,sif
GO_Molecular_Function_2018,mannosyl-oligosaccharide mannosidase activity (GO:0015924),1/9,0.0266835310592493,0.0738928552409981,0.0475630929120107,0.136981707586591,-2.7262223433309654,9.879035673128568,alpha-Man-Ia
GO_Molecular_Function_2018,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity (GO:0004571)",1/9,0.0266835310592493,0.0738928552409981,0.0475630929120107,0.136981707586591,-2.911498868917856,10.550423834165294,alpha-Man-Ia
GO_Molecular_Function_2018,ubiquitin-specific protease binding (GO:1990381),1/7,0.0208150365588842,0.0738928552409981,0.0382286875386979,0.136981707586591,-4.283445413405024,16.585841782712627,Myc
GO_Molecular_Function_2018,"oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)",1/9,0.0266835310592493,0.0738928552409981,0.0475630929120107,0.136981707586591,-3.240142064079101,11.74133104562994,SdhB
GO_Molecular_Function_2018,"2 iron, 2 sulfur cluster binding (GO:0051537)",1/9,0.0266835310592493,0.0738928552409981,0.0475630929120107,0.136981707586591,-3.415179889575279,12.375617139885485,SdhB
GO_Molecular_Function_2018,mRNA 5'-UTR binding (GO:0048027),1/7,0.0208150365588842,0.0738928552409981,0.0382286875386979,0.136981707586591,-4.462671271491025,17.27981857912108,Sxl
GO_Molecular_Function_2018,kinase inhibitor activity (GO:0019210),1/6,0.0178677556416902,0.0738928552409981,0.0335284232885666,0.136981707586591,-2.9586179632933827,11.907719989284177,pcs
GO_Molecular_Function_2018,ubiquinone binding (GO:0048039),1/8,0.023753619954611,0.0738928552409981,0.0429068774182756,0.136981707586591,-1.5617162901966082,5.840850692166687,SdhB
GO_Molecular_Function_2018,protein kinase inhibitor activity (GO:0004860),1/7,0.0208150365588842,0.0738928552409981,0.0382286875386979,0.136981707586591,-2.9371137704978123,11.372738436878734,pcs
GO_Molecular_Function_2018,fructokinase activity (GO:0008865),1/9,0.0266835310592493,0.0738928552409981,0.0475630929120107,0.136981707586591,-3.0521821888175347,11.060219206983264,Hex-A
GO_Biological_Process_2018,translation (GO:0006412),4/225,0.004647894726824,0.0746568090496118,0.0233227761783133,0.2138361253869991,-1.154211978011208,6.199666014945412,RpL29;RpL39;RpL22;RpL41
GO_Biological_Process_2018,cellular respiration (GO:0045333),2/35,0.0049412395886277,0.0746999161339614,0.0134451034860407,0.2138361253869991,-1.9171447517493767,10.180305211510134,SdhB;levy
GO_Molecular_Function_2018,"oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor (GO:0016681)",1/11,0.0325174369719356,0.083616266499263,0.0568099984982138,0.1514933293285702,-2.2398065612256333,7.673529820191293,UQCR-C2
GO_Molecular_Function_2018,ubiquinol-cytochrome-c reductase activity (GO:0008121),1/11,0.0325174369719356,0.083616266499263,0.0568099984982138,0.1514933293285702,-1.8588117194288565,6.368249564977273,UQCR-C2
GO_Molecular_Function_2018,"4 iron, 4 sulfur cluster binding (GO:0051539)",1/12,0.0354214818845385,0.0850115565228924,0.0614008863865557,0.1524435799942074,-1.3482223846764134,4.503651681831613,SdhB
GO_Molecular_Function_2018,protease binding (GO:0002020),1/12,0.0354214818845385,0.0850115565228924,0.0614008863865557,0.1524435799942074,-2.5841454585180235,8.632174612013637,Myc
GO_Molecular_Function_2018,carbohydrate kinase activity (GO:0019200),1/14,0.0412038803616997,0.0927087308138243,0.0705180236123122,0.1637333850897494,-2.12220328307083,6.7681791889737655,Hex-A
GO_Molecular_Function_2018,metal ion binding (GO:0046872),2/107,0.0410515877464627,0.0927087308138243,0.0975270841651324,0.2006271445682724,-1.1216660065006618,3.581396292415578,Frq1;Nca
GO_Molecular_Function_2018,histone deacetylase activity (GO:0004407),1/15,0.0440822836027598,0.093350718217609,0.0750444681661351,0.1637333850897494,-2.851175806486214,8.900507844330637,HDAC4
GO_Molecular_Function_2018,protein deacetylase activity (GO:0033558),1/15,0.0440822836027598,0.093350718217609,0.0750444681661351,0.1637333850897494,-2.860379540984772,8.929239117553143,HDAC4
GO_Molecular_Function_2018,pre-mRNA binding (GO:0036002),1/16,0.0469521891825315,0.0965873606040648,0.0795496261149618,0.1684580317728603,-2.771213197775936,8.476103204280419,Sxl
GO_Biological_Process_2018,muscle organ development (GO:0007517),2/43,0.0073847076390242,0.1054372146238458,0.0195115562692325,0.2138361253869991,-1.5062408264452185,7.393148051143561,pcs;fru
GO_Biological_Process_2018,muscle organ morphogenesis (GO:0048644),1/8,0.023753619954611,0.1202334490532142,0.0424043054443226,0.2138361253869991,-3.737276491867491,13.977490099430565,pcs
GO_Biological_Process_2018,regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),1/9,0.0266835310592493,0.1202334490532142,0.0470063841584821,0.2138361253869991,-3.6255089733722494,13.137788474519898,Cyt-c-p
GO_Biological_Process_2018,muscle cell fate specification (GO:0042694),1/9,0.0266835310592493,0.1202334490532142,0.0470063841584821,0.2138361253869991,-3.577176208695249,12.962644613787829,pcs
GO_Biological_Process_2018,mitochondrial protein processing (GO:0034982),1/8,0.023753619954611,0.1202334490532142,0.0424043054443226,0.2138361253869991,-3.632592411601904,13.585969509861055,UQCR-C2
GO_Biological_Process_2018,female germ-line sex determination (GO:0019099),1/6,0.0178677556416902,0.1202334490532142,0.033135140450124,0.2138361253869991,-3.4081292419848754,13.716893902608582,Sxl
GO_Biological_Process_2018,negative regulation of compound eye retinal cell programmed cell death (GO:0046673),1/9,0.0266835310592493,0.1202334490532142,0.0470063841584821,0.2138361253869991,-3.725873323510711,13.501479645107542,ninaE
GO_Biological_Process_2018,"mating behavior, sex discrimination (GO:0048047)",1/10,0.0296047950335542,0.1202334490532142,0.0515869251906379,0.2138361253869991,-3.819876920849449,13.445275120703974,fru
GO_Biological_Process_2018,negative regulation of MAPK cascade (GO:0043409),1/9,0.0266835310592493,0.1202334490532142,0.0470063841584821,0.2138361253869991,-3.660455702591795,13.2644252418634,ATPsynD
GO_Biological_Process_2018,cold acclimation (GO:0009631),1/9,0.0266835310592493,0.1202334490532142,0.0470063841584821,0.2138361253869991,-3.7358196857518458,13.537522364674563,Hsp26
GO_Biological_Process_2018,negative regulation of RNA splicing (GO:0033119),1/9,0.0266835310592493,0.1202334490532142,0.0470063841584821,0.2138361253869991,-3.336443705575957,12.090300143493716,Sxl
GO_Biological_Process_2018,"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)",1/10,0.0296047950335542,0.1202334490532142,0.0515869251906379,0.2138361253869991,-3.536868371626903,12.44913626998879,SdhB
GO_Biological_Process_2018,regulation of cellular carbohydrate metabolic process (GO:0010675),1/8,0.023753619954611,0.1202334490532142,0.0424043054443226,0.2138361253869991,-3.34473112792272,12.509362453521849,Myc
GO_Biological_Process_2018,positive regulation of nervous system development (GO:0051962),1/10,0.0296047950335542,0.1202334490532142,0.0515869251906379,0.2138361253869991,-3.107378625810508,10.93741012967678,Myc
GO_Biological_Process_2018,purine ribonucleotide metabolic process (GO:0009150),1/10,0.0296047950335542,0.1202334490532142,0.0515869251906379,0.2138361253869991,-3.020566002023189,10.631845412552046,ATPsynD
GO_Biological_Process_2018,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),1/10,0.0296047950335542,0.1202334490532142,0.0515869251906379,0.2138361253869991,-2.897638556664532,10.199163062575987,ninaE
GO_Biological_Process_2018,protein processing involved in protein targeting to mitochondrion (GO:0006627),1/6,0.0178677556416902,0.1202334490532142,0.033135140450124,0.2138361253869991,-2.257988173163084,9.08785495076611,UQCR-C2
GO_Biological_Process_2018,female somatic sex determination (GO:0019101),1/7,0.0208150365588842,0.1202334490532142,0.0377805905275626,0.2138361253869991,-3.1074341256225124,12.032232416569284,Sxl
GO_Biological_Process_2018,cAMP metabolic process (GO:0046058),1/10,0.0296047950335542,0.1202334490532142,0.0515869251906379,0.2138361253869991,-2.42424697291744,8.532910401772972,Ac78C
GO_Biological_Process_2018,regulation of G-protein coupled receptor protein signaling pathway (GO:0008277),1/8,0.023753619954611,0.1202334490532142,0.0424043054443226,0.2138361253869991,-2.0378605201195144,7.621639797316037,sun
GO_Biological_Process_2018,negative regulation of protein kinase activity (GO:0006469),1/10,0.0296047950335542,0.1202334490532142,0.0515869251906379,0.2138361253869991,-2.4740445964119675,8.708189019936476,pcs
GO_Biological_Process_2018,behavioral response to starvation (GO:0042595),1/8,0.023753619954611,0.1202334490532142,0.0424043054443226,0.2138361253869991,-3.8194516782950574,14.284826968193045,Hsp27
GO_Biological_Process_2018,copulation (GO:0007620),1/7,0.0208150365588842,0.1202334490532142,0.0377805905275626,0.2138361253869991,-4.497831308435694,17.41596104238526,fru
GO_Biological_Process_2018,negative regulation of mRNA processing (GO:0050686),1/6,0.0178677556416902,0.1202334490532142,0.033135140450124,0.2138361253869991,-4.115594546814831,16.564270230531363,Sxl
GO_Biological_Process_2018,oxidative phosphorylation (GO:0006119),1/8,0.023753619954611,0.1202334490532142,0.0424043054443226,0.2138361253869991,-4.794918859375062,17.9330940673854,Cyt-c-p
GO_Biological_Process_2018,regulation of mitochondrial membrane potential (GO:0051881),1/6,0.0178677556416902,0.1202334490532142,0.033135140450124,0.2138361253869991,-4.3567275907424525,17.534772269955756,ATPsynD
GO_Biological_Process_2018,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),1/6,0.0178677556416902,0.1202334490532142,0.033135140450124,0.2138361253869991,-3.540721442290069,14.2505453620352,pcs
GO_Biological_Process_2018,optomotor response (GO:0071632),1/6,0.0178677556416902,0.1202334490532142,0.033135140450124,0.2138361253869991,-3.963341953374679,15.951490455372578,ninaE
GO_Biological_Process_2018,positive regulation of microtubule polymerization or depolymerization (GO:0031112),1/6,0.0178677556416902,0.1202334490532142,0.033135140450124,0.2138361253869991,-3.9565892722925415,15.92431255119548,Jupiter
GO_Biological_Process_2018,detection of light stimulus (GO:0009583),1/8,0.023753619954611,0.1202334490532142,0.0424043054443226,0.2138361253869991,-4.125907361954094,15.430977458685112,ninaE
GO_Biological_Process_2018,cellular glucose homeostasis (GO:0001678),1/6,0.0178677556416902,0.1202334490532142,0.033135140450124,0.2138361253869991,-3.7677992368044535,15.164478430247756,Hex-A
GO_Biological_Process_2018,transcription from RNA polymerase I promoter (GO:0006360),1/9,0.0266835310592493,0.1202334490532142,0.0470063841584821,0.2138361253869991,-3.96153958248994,14.355465522343057,Myc
