Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
KEGG_2019,Oxidative phosphorylation,5/144,0.0001217435647544,0.0023131277303345,0.0003130610439159,0.0059481598344035,-1.4284956754624456,12.87587955457874,ND-18;ND-AGGG;VhaM9.7-a;SdhB;sun
GO_Biological_Process_2018,cold acclimation (GO:0009631),2/9,0.0003920062548359,0.0579403109155661,0.0010784355233322,0.1529152483080254,-3.8630426606286448,30.302605799842784,Hsp26;Hsp23
GO_Biological_Process_2018,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),2/10,0.0004889477714393,0.0579403109155661,0.0012904240363546,0.1529152483080254,-3.153435297716551,24.03944102544384,ninaE;mtt
GO_Biological_Process_2018,modulation of chemical synaptic transmission (GO:0050804),3/70,0.0016755873262825,0.1320159335623569,0.0043221801634259,0.2131655172564429,-1.5409975518251071,9.849426904016736,Mctp;mtt;cdm
GO_Biological_Process_2018,phototaxis (GO:0042331),2/21,0.0022281170221494,0.1320159335623569,0.0047935615297377,0.2131655172564429,-2.660920707293529,16.249174226525042,ninaE;cdm
GO_Biological_Process_2018,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),1/6,0.0199348836683841,0.1373074090075701,0.0314227931465228,0.2131655172564429,-3.582205648440348,14.025352939032578,pcs
GO_Biological_Process_2018,secretory granule organization (GO:0033363),1/7,0.0232190870697698,0.1373074090075701,0.0358326552238642,0.2131655172564429,-3.817281862408378,14.363594213072524,Arl1
GO_Biological_Process_2018,protein localization to Golgi apparatus (GO:0034067),1/7,0.0232190870697698,0.1373074090075701,0.0358326552238642,0.2131655172564429,-4.980016333823503,18.738708948357303,Arl1
GO_Biological_Process_2018,muscle organ morphogenesis (GO:0048644),1/8,0.0264924488051041,0.1373074090075701,0.040222994764463,0.2131655172564429,-3.75588295954814,13.637218676620709,pcs
GO_Biological_Process_2018,dsRNA transport (GO:0033227),2/27,0.0036762240357159,0.1373074090075701,0.0075619744728939,0.2131655172564429,-2.42471213420915,13.592618904312056,Arl1;Bet3
GO_Biological_Process_2018,regulation of cell motility (GO:2000145),1/8,0.0264924488051041,0.1373074090075701,0.040222994764463,0.2131655172564429,-3.6395275728386576,13.214744422270972,Arl1
GO_Biological_Process_2018,negative regulation of compound eye retinal cell programmed cell death (GO:0046673),1/9,0.0297550041255553,0.1373074090075701,0.044593895737092,0.2131655172564429,-3.736391199210122,13.132510691291966,ninaE
GO_Biological_Process_2018,negative regulation of protein tyrosine kinase activity (GO:0061099),1/7,0.0232190870697698,0.1373074090075701,0.0358326552238642,0.2131655172564429,-3.4545945509065685,12.998881426221756,pcs
GO_Biological_Process_2018,folic acid-containing compound metabolic process (GO:0006760),1/9,0.0297550041255553,0.1373074090075701,0.044593895737092,0.2131655172564429,-3.64671140254176,12.817307912528026,CG5412
GO_Biological_Process_2018,behavioral response to starvation (GO:0042595),1/8,0.0264924488051041,0.1373074090075701,0.040222994764463,0.2131655172564429,-3.8396032560387625,13.94119832753387,Hsp27
GO_Biological_Process_2018,peptidyl-asparagine modification (GO:0018196),1/7,0.0232190870697698,0.1373074090075701,0.0358326552238642,0.2131655172564429,-3.89363689924875,14.650901465937356,FucT6
GO_Biological_Process_2018,negative regulation of retinal cell programmed cell death (GO:0046671),1/9,0.0297550041255553,0.1373074090075701,0.044593895737092,0.2131655172564429,-3.5897112762844925,12.616966265315924,ninaE
GO_Biological_Process_2018,muscle cell fate specification (GO:0042694),1/9,0.0297550041255553,0.1373074090075701,0.044593895737092,0.2131655172564429,-3.5872420434084145,12.608287509421404,pcs
GO_Biological_Process_2018,positive regulation of cysteine-type endopeptidase activity (GO:2001056),1/10,0.0330067881609823,0.1373074090075701,0.0489454417582897,0.2131655172564429,-3.567984816481838,12.17054619576015,Cyt-c-p
GO_Biological_Process_2018,regulation of vesicle-mediated transport (GO:0060627),2/34,0.0057877100954484,0.1373074090075701,0.0115026669677342,0.2131655172564429,-2.4110625339417555,12.421838920907836,Rab21;Arl1
GO_Biological_Process_2018,"regulation of synaptic transmission, glutamatergic (GO:0051966)",1/9,0.0297550041255553,0.1373074090075701,0.044593895737092,0.2131655172564429,-3.4241372632297544,12.035013685751684,mtt
GO_Biological_Process_2018,regulation of autophagosome maturation (GO:1901096),1/6,0.0199348836683841,0.1373074090075701,0.0314227931465228,0.2131655172564429,-3.059111572397349,11.977291002662602,Rab21
GO_Biological_Process_2018,glutamate receptor signaling pathway (GO:0007215),1/9,0.0297550041255553,0.1373074090075701,0.044593895737092,0.2131655172564429,-3.151951817543976,11.078347725228545,mtt
GO_Biological_Process_2018,"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)",1/10,0.0330067881609823,0.1373074090075701,0.0489454417582897,0.2131655172564429,-3.5521953036200573,12.11668750364768,SdhB
GO_Biological_Process_2018,response to lipid (GO:0033993),1/9,0.0297550041255553,0.1373074090075701,0.044593895737092,0.2131655172564429,-2.6039658279520874,9.152309608953402,CG5412
GO_Biological_Process_2018,positive regulation of organelle organization (GO:0010638),1/10,0.0330067881609823,0.1373074090075701,0.0489454417582897,0.2131655172564429,-3.0215815858898942,10.306741807155992,Rab21
GO_Biological_Process_2018,negative regulation of imaginal disc growth (GO:0045571),1/10,0.0330067881609823,0.1373074090075701,0.0489454417582897,0.2131655172564429,-2.857659725391179,9.747597450240898,lig
GO_Biological_Process_2018,regulation of eye photoreceptor cell development (GO:0042478),1/10,0.0330067881609823,0.1373074090075701,0.0489454417582897,0.2131655172564429,-2.772352245829391,9.456610051400354,Dlip3
GO_Biological_Process_2018,regulation of G-protein coupled receptor protein signaling pathway (GO:0008277),1/8,0.0264924488051041,0.1373074090075701,0.040222994764463,0.2131655172564429,-2.0491533172090435,7.440261634793966,sun
GO_Biological_Process_2018,rhabdomere development (GO:0042052),2/43,0.0091374550059954,0.1373074090075701,0.0176195602390302,0.2131655172564429,-1.7378164865848729,8.15969726699978,ninaE;capt
GO_Biological_Process_2018,regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),1/9,0.0297550041255553,0.1373074090075701,0.044593895737092,0.2131655172564429,-3.635168325349689,12.77673679013931,Cyt-c-p
GO_Biological_Process_2018,G-protein coupled glutamate receptor signaling pathway (GO:0007216),1/7,0.0232190870697698,0.1373074090075701,0.0358326552238642,0.2131655172564429,-3.682349518183468,13.855873403207452,mtt
GO_Biological_Process_2018,Ras protein signal transduction (GO:0007265),2/85,0.0330233009005548,0.1373074090075701,0.0591472302699083,0.2131655172564429,-1.317802382998203,4.494420215175187,Rab21;CRMP
GO_Biological_Process_2018,respiratory electron transport chain (GO:0022904),2/77,0.0275309365362062,0.1373074090075701,0.0498175693884187,0.2131655172564429,-1.206043768819707,4.33264583671157,Cyt-c-p;SdhB
GO_Biological_Process_2018,intracellular protein transport (GO:0006886),3/173,0.0203423028590571,0.1373074090075701,0.0451665591869229,0.2131655172564429,-1.1011543251329885,4.289054101379291,Rab21;Arl1;cdm
GO_Biological_Process_2018,compound eye photoreceptor development (GO:0042051),2/78,0.0281953105757995,0.1373074090075701,0.0509516939747632,0.2131655172564429,-1.3295743487434677,4.744718497744246,ninaE;capt
GO_Biological_Process_2018,detection of UV (GO:0009589),1/7,0.0232190870697698,0.1373074090075701,0.0358326552238642,0.2131655172564429,-1.3786898091929118,5.187707295067651,ninaE
GO_Biological_Process_2018,mitochondrial ATP synthesis coupled electron transport (GO:0042775),2/72,0.0243072905966081,0.1373074090075701,0.0442911862294271,0.2131655172564429,-1.304110598370138,4.847351641416826,Cyt-c-p;SdhB
GO_Biological_Process_2018,response to light stimulus (GO:0009416),2/62,0.0183714159415143,0.1373074090075701,0.0340027501517684,0.2131655172564429,-1.4099353041247504,5.63545403145069,ninaE;cdm
GO_Biological_Process_2018,mesoderm development (GO:0007498),2/83,0.03161268753209,0.1373074090075701,0.0567608334344966,0.2131655172564429,-1.1588468867293689,4.002885132262654,flw;pcs
