Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,negative regulation of signal transduction (GO:0009968),11/146,1.34253598e-08,1.0069019863e-05,8.7161894851e-06,0.0065371421138868,-1.077388585572256,19.528875214139287,HDAC4;dally;gro;nkd;swm;sty;cdi;Smr;InR;tow;numb
GO_Biological_Process_2018,axon development (GO:0061564),7/66,6.237510932e-07,0.000233906659962,5.64295929211e-05,0.0211610973454403,-2.0937127736919354,29.91395148148469,dally;pros;Con;ckn;Fas2;fax;Ptp99A
GO_Biological_Process_2018,regulation of multicellular organismal development (GO:2000026),6/48,1.5236102935e-06,0.0003809025733865,8.53487236547e-05,0.0213371809136768,-1.923903858845175,25.769591420512494,dally;robo2;sty;Top1;Yp3;numb
GO_Biological_Process_2018,nervous system development (GO:0007399),11/246,2.5819171651e-06,0.0003872875747696,0.000728389230779,0.0859531338701134,-1.0917409108862597,14.04740666169723,unc-119;pros;glec;gro;mbl;fru;tou;InR;RabX1;numb;stai
GO_Biological_Process_2018,axon guidance (GO:0007411),11/242,2.2032812802e-06,0.0003872875747696,0.0006392338655361,0.0859531338701134,-1.0584996243368046,13.787553349373113,RhoGAP93B;dally;grn;pros;robo2;egh;ckn;beat-Ic;Fas2;InR;Ptp99A
GO_Biological_Process_2018,cell morphogenesis involved in neuron differentiation (GO:0048667),9/160,3.3963235501e-06,0.000424540443763,0.0004783884235948,0.0859531338701134,-0.9686791510646852,12.19839930061224,CG9705;fs(1)h;dally;pros;ckn;ninaE;fru;Fas2;fax
GO_Biological_Process_2018,axonogenesis (GO:0007409),9/212,3.25494550512e-05,0.0030515114110581,0.0031324993252289,0.1836557056737193,-1.0775813807656938,11.134378938126217,RhoGAP93B;dally;pros;robo2;egh;ckn;beat-Ic;InR;fax
GO_Biological_Process_2018,neuron development (GO:0048666),5/49,3.24419845391e-05,0.0030515114110581,0.0008022292494543,0.0859531338701134,-1.5424105936307309,15.942444052100653,egh;fru;Fas2;sqz;stai
GO_Biological_Process_2018,oogenesis (GO:0048477),9/216,3.76709902144e-05,0.0031392491845394,0.0035295790924017,0.1836557056737193,-1.0990903662648086,11.196016181630403,ari-1;dally;bel;Top1;Dp;InR;qm;sqz;capu
GO_Biological_Process_2018,dendrite morphogenesis (GO:0048813),7/141,9.47828288931e-05,0.0071087121669867,0.0040138094520712,0.1836557056737193,-1.180694506145567,10.937862158981282,CG9705;fs(1)h;Toll-6;dally;pros;fru;sqz
GO_Biological_Process_2018,negative regulation of response to stimulus (GO:0048585),4/37,0.0001655869753053,0.0103491859565858,0.0022538285001115,0.1836557056737193,-1.830718232695184,15.938258510156802,sty;Cbp53E;InR;Rok
GO_Biological_Process_2018,regulation of canonical Wnt signaling pathway (GO:0060828),5/68,0.0001581872079891,0.0103491859565858,0.0031051303670673,0.1836557056737193,-1.5473015463834785,13.5415674755874,flw;dally;gro;nkd;apolpp
GO_Biological_Process_2018,regulation of gene expression (GO:0010468),12/458,0.000179456467222,0.0103532577243519,0.0260481510745075,0.326525487505136,-1.0022291836494723,8.644805899114958,HDAC4;Dsp1;Pitslre;pros;gro;mbl;bel;swm;Dp;Rga;Met;numb
GO_Biological_Process_2018,"regulation of transcription, DNA-templated (GO:0006355)",14/623,0.0002558484436686,0.0117885482271561,0.0505493247250645,0.3616188473644508,-1.0198010311157637,8.434698155049796,HDAC4;Mnn1;fs(1)h;gro;fru;tth;Dp;Rga;luna;Dsp1;pros;Smr;Eip93F;Met
GO_Biological_Process_2018,regulation of developmental growth (GO:0048638),5/76,0.0002672070931488,0.0117885482271561,0.0048609908970457,0.1836557056737193,-1.0913318050903162,8.978917770272748,dally;Cip4;Fas2;InR;Rok
GO_Biological_Process_2018,motor neuron axon guidance (GO:0008045),5/75,0.0002511304712432,0.0117885482271561,0.0046100861638501,0.1836557056737193,-1.5449241580711064,12.80670743532023,dally;grn;beat-Ic;Fas2;Ptp99A
GO_Biological_Process_2018,regulation of smoothened signaling pathway (GO:0008589),4/40,0.0002251679971621,0.0117885482271561,0.0029281390147686,0.1836557056737193,-1.6598735154798692,13.94071957436206,gro;apolpp;swm;tow
GO_Biological_Process_2018,rhabdomere development (GO:0042052),4/43,0.0002988030708341,0.0124501279514221,0.0037289196921974,0.1836557056737193,-1.724295922907501,13.993912955855022,mbl;ninaE;Rip11;eys
GO_Biological_Process_2018,neuron projection morphogenesis (GO:0048812),7/180,0.0004248702835375,0.0167711954027991,0.0138237468601972,0.2658412857730235,-1.1311020745434024,8.781567320945326,CG9705;fs(1)h;dally;pros;ckn;fru;fax
GO_Biological_Process_2018,negative regulation of gene expression (GO:0010629),8/245,0.0005341709908313,0.0200314121561773,0.0220514752771115,0.326525487505136,-1.0258170629225083,7.729320828043808,Dsp1;fs(1)h;pros;gro;Smr;tth;Rga;numb
GO_Biological_Process_2018,negative regulation of smoothened signaling pathway (GO:0045879),3/22,0.0005735251363233,0.0204830405829763,0.004570325722743,0.1836557056737193,-2.2794094564304275,17.01284840205972,gro;swm;tow
GO_Biological_Process_2018,regulation of cytokinetic process (GO:0032954),2/6,0.0008217616932363,0.0225687783641098,0.0048974854846325,0.1836557056737193,-3.804640576694035,27.02839537601804,flw;Rok
GO_Biological_Process_2018,regulation of response to wounding (GO:1903034),2/6,0.0008217616932363,0.0225687783641098,0.0048974854846325,0.1836557056737193,-4.647962710754772,33.0194065134083,Cbp53E;Rok
GO_Biological_Process_2018,regulated exocytosis (GO:0045055),2/6,0.0008217616932363,0.0225687783641098,0.0048974854846325,0.1836557056737193,-4.6165284906250745,32.79609592391222,Scp2;Rip11
GO_Biological_Process_2018,embryonic heart tube development (GO:0035050),3/24,0.0007455411007195,0.0225687783641098,0.0056986099520454,0.189593782363973,-2.4163836963156493,17.401346259926875,robo2;qm;numb
GO_Biological_Process_2018,non-sensory hair organization (GO:0035316),3/25,0.0008425677255934,0.0225687783641098,0.0063197927454657,0.189593782363973,-2.5705579806254963,18.197125213525123,Cip4;tow;Rok
GO_Biological_Process_2018,neuroblast differentiation (GO:0014016),3/25,0.0008425677255934,0.0225687783641098,0.0063197927454657,0.189593782363973,-2.7859411632499804,19.72183493516757,pros;sqz;numb
GO_Biological_Process_2018,dendrite guidance (GO:0070983),3/25,0.0008425677255934,0.0225687783641098,0.0063197927454657,0.189593782363973,-2.693218799324911,19.06544808096872,Toll-6;pros;sqz
GO_Biological_Process_2018,axon midline choice point recognition (GO:0016199),3/26,0.0009472553198039,0.023681382995098,0.0069798493691954,0.2013418087267927,-1.981117500248309,13.792424918013932,RhoGAP93B;fru;eIF2beta
GO_Biological_Process_2018,regulation of transcription from RNA polymerase II promoter (GO:0006357),13/630,0.0009411333424045,0.023681382995098,0.0978599619417404,0.3616188473644508,-0.9839708182845752,6.856727563318495,Mnn1;gro;fru;tth;Dp;luna;Dsp1;dally;pros;sty;Smr;tou;Met
GO_Biological_Process_2018,female gamete generation (GO:0007292),7/208,0.0009986301534482,0.0241604069382635,0.0273940917062825,0.326525487505136,-0.9610648927865856,6.6401185005539896,ari-1;bel;Top1;Dp;qm;sqz;capu
GO_Biological_Process_2018,negative regulation of response to wounding (GO:1903035),2/7,0.0011448034159346,0.026830009748094,0.0062408662340998,0.189593782363973,-4.621012659169822,31.29591149471232,Cbp53E;Rok
GO_Biological_Process_2018,axon choice point recognition (GO:0016198),3/28,0.0011805204289161,0.026830009748094,0.0084188430563175,0.225504724722791,-2.4360904573653146,16.423634392795158,RhoGAP93B;fru;eIF2beta
GO_Biological_Process_2018,regulation of axonogenesis (GO:0050770),3/29,0.0013095357132864,0.0288868172048489,0.009198797441793,0.2266060209625315,-2.005107576516461,13.310069758770698,sif;pros;Rok
GO_Biological_Process_2018,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),4/64,0.0013620513651503,0.0291868149675069,0.0136943717166783,0.2658412857730235,-1.7408632241463091,11.487544456411314,glec;Con;beat-Ic;Fas2
GO_Biological_Process_2018,embryonic organ development (GO:0048568),3/31,0.0015933799844163,0.0314482891661127,0.010881842641806,0.2387184165819262,-2.4829828198176145,15.995121422029486,robo2;qm;numb
GO_Biological_Process_2018,regulation of cellular protein localization (GO:1903827),2/8,0.0015188955224798,0.0314482891661127,0.0077319001541123,0.2147750042808997,-4.377752700647394,28.410616191243285,pros;Asap
GO_Biological_Process_2018,neuroblast fate commitment (GO:0014017),3/31,0.0015933799844163,0.0314482891661127,0.010881842641806,0.2387184165819262,-2.320848917127757,14.95067140028416,pros;nkd;numb
GO_Biological_Process_2018,eye morphogenesis (GO:0048592),5/114,0.0016914037189028,0.0325269945942849,0.0231104669582761,0.326525487505136,-2.0353824804974274,12.990210926717156,cindr;pros;sty;Fas2;Asap
GO_Biological_Process_2018,defasciculation of motor neuron axon (GO:0007415),2/9,0.0019432643420527,0.0355475184521842,0.0093663821997846,0.2266060209625315,-2.4044400776016546,15.01184768528852,beat-Ic;Ptp99A
GO_Biological_Process_2018,muscle cell fate specification (GO:0042694),2/9,0.0019432643420527,0.0355475184521842,0.0093663821997846,0.2266060209625315,-3.5912683772936806,22.421674958396515,pcs;numb
GO_Biological_Process_2018,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),6/179,0.0023353160844333,0.0398665582380676,0.0405761644007596,0.3616188473644508,-1.334068770422987,8.083933832435944,Dsp1;fs(1)h;gro;Smr;tth;Rga
GO_Biological_Process_2018,regulation of GTPase activity (GO:0043087),4/75,0.0024451489052681,0.0398665582380676,0.0225596913013035,0.326525487505136,-1.246298277813828,7.494800711078842,sif;RhoGAP93B;Asap;Dhit
