Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,nervous system development (GO:0007399),12/246,3.534854333e-07,0.0001279617268634,0.0001770176770957,0.0182405680464999,-1.096471089151534,16.28854245005062,unc-119;kuz;glec;mbl;futsch;Gs2;inaE;aPKC;Lar;da;numb;stai
GO_Biological_Process_2018,chemical synaptic transmission (GO:0007268),10/154,2.541918814e-07,0.0001279617268634,6.95274556374e-05,0.0182405680464999,-1.102885399148056,16.7475093530647,brp;Rbp;CaMKII;Snap25;shi;5-HT1A;CASK;nAChRalpha6;Rdl;Frq2
GO_Biological_Process_2018,axonogenesis (GO:0007409),11/212,6.020380364e-07,0.0001452918461216,0.0002007228117093,0.0182405680464999,-1.0852365061565246,15.543783017808943,kuz;RhoGAP93B;dally;sbb;Sh;jeb;futsch;egh;beat-Ic;Lar;fax
GO_Biological_Process_2018,axon guidance (GO:0007411),11/242,2.2032812802e-06,0.0002658626078132,0.0005915601790519,0.0225415562965075,-1.0554422766645868,13.747729675212913,kuz;RhoGAP93B;dally;sbb;jeb;egh;beat-Ic;fend;Fas2;Lar;Ptp99A
GO_Biological_Process_2018,regulation of developmental growth (GO:0048638),7/76,1.6448155484e-06,0.0002658626078132,0.0001214275227867,0.0182405680464999,-1.102926963024511,14.688651488596191,kuz;dally;CaMKII;futsch;CASK;Cip4;Fas2
GO_Biological_Process_2018,cell junction assembly (GO:0034329),4/13,2.0620236873e-06,0.0002658626078132,6.57433624864e-05,0.0182405680464999,-2.7128025924920625,35.51553051998283,sdt;cindr;aPKC;alpha-Cat
GO_Biological_Process_2018,anesthesia-resistant memory (GO:0007615),4/14,2.8700017384e-06,0.0002968401798058,8.36500325427e-05,0.0182405680464999,-2.7079256878584554,34.55637566207476,brp;Dop2R;5-HT1A;CASK
GO_Biological_Process_2018,anterograde trans-synaptic signaling (GO:0098916),7/89,4.7794911337e-06,0.0004325439476047,0.0003019075499315,0.0182405680464999,-1.4593502379246353,17.87875730292052,brp;CaMKII;shi;5-HT1A;nAChRalpha6;Rdl;Frq2
GO_Biological_Process_2018,cortical cytoskeleton organization (GO:0030865),5/38,9.1252412308e-06,0.0006010870269848,0.0002635960521053,0.0182405680464999,-2.177181966324744,25.26503458863623,brp;Rbp;shi;Rab3;Galphao
GO_Biological_Process_2018,morphogenesis of an epithelium (GO:0002009),6/66,1.00961502796e-05,0.0006010870269848,0.0004031064761657,0.0182405680464999,-1.6184280450733244,18.617354557158432,Toll-6;sdt;shi;Eip63E;egh;aPKC
GO_Biological_Process_2018,axon development (GO:0061564),6/66,1.00961502796e-05,0.0006010870269848,0.0004031064761657,0.0182405680464999,-2.0589889293989967,23.68528341100791,dally;Con;futsch;Fas2;fax;Ptp99A
GO_Biological_Process_2018,regulation of circadian sleep/wake cycle (GO:0042749),4/19,1.07929991033e-05,0.0006010870269848,0.0002297767486206,0.0182405680464999,-2.59235214967762,29.64772794613452,Sh;5-HT1A;Rdl;qvr
GO_Biological_Process_2018,cation transport (GO:0006812),5/37,7.9725232026e-06,0.0006010870269848,0.0002354571277398,0.0182405680464999,-2.0346732007493986,23.8860654260052,Cngl;nrv2;GluRIA;nAChRalpha6;GluRIB
GO_Biological_Process_2018,ion transport (GO:0006811),6/68,1.2013486097e-05,0.0006212688524487,0.0004676408544239,0.0199159987413488,-1.386783251426701,15.711534079057742,Cngl;nrv2;GluRIA;nAChRalpha6;Rdl;GluRIB
GO_Biological_Process_2018,adherens junction assembly (GO:0034333),4/20,1.34126873802e-05,0.000647385710889,0.0002728768944021,0.0182405680464999,-2.2097475500027084,24.79184163512024,sdt;cindr;aPKC;alpha-Cat
GO_Biological_Process_2018,regulation of neuromuscular junction development (GO:1904396),5/42,1.50962893224e-05,0.0006831070918389,0.0004024222558202,0.0182405680464999,-1.419104345020089,15.753564729013672,CaMKII;futsch;CASK;Cip4;Fas2
GO_Biological_Process_2018,regulation of synaptic growth at neuromuscular junction (GO:0008582),7/110,1.93614734909e-05,0.0008154808894124,0.0009962921019458,0.0300548117420324,-1.4115172500860131,15.3181033100844,CaMKII;futsch;CASK;Cip4;Fas2;Galphao;Liprin-gamma
GO_Biological_Process_2018,regulation of short-term neuronal synaptic plasticity (GO:0048172),3/8,2.25270963926e-05,0.0008154808894124,0.0003667732840906,0.0182405680464999,-3.2627888120213853,34.91442340331398,Snap25;shi;Rab3
