Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
KEGG_2019,Glycolysis / Gluconeogenesis,2/54,0.0065764139190871,0.0756287600695019,0.0317042360773624,0.3808140283745498,-82.04857550573094,412.2338419496396,Tpi;AcCoAS
KEGG_2019,Oxidative phosphorylation,3/144,0.0041578243375258,0.0756287600695019,0.0355744170025363,0.3808140283745498,-1.4284956754624456,7.832103716925708,NP15.6;VhaM9.7-a;sun
GO_Molecular_Function_2018,calcium-dependent protein serine/threonine phosphatase activity (GO:0004723),1/6,0.0134259588340655,0.0978543266247071,0.0163493251471985,0.10828076654474,-3.707677912013789,15.982187453026986,CanA-14F
GO_Molecular_Function_2018,protein kinase inhibitor activity (GO:0004860),1/7,0.0156464165645639,0.0978543266247071,0.0186645755589924,0.10828076654474,-3.0771513780070947,12.793297970114075,pcs
GO_Molecular_Function_2018,Rac guanyl-nucleotide exchange factor activity (GO:0030676),1/7,0.0156464165645639,0.0978543266247071,0.0186645755589924,0.10828076654474,-3.095001555967149,12.86751032349217,sif
GO_Molecular_Function_2018,"intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)",1/7,0.0156464165645639,0.0978543266247071,0.0186645755589924,0.10828076654474,-3.088440606705881,12.840233089272846,Tpi
GO_Molecular_Function_2018,kinase inhibitor activity (GO:0019210),1/6,0.0134259588340655,0.0978543266247071,0.0163493251471985,0.10828076654474,-3.0643607814690346,13.209127004924216,pcs
GO_Molecular_Function_2018,phosphoprotein phosphatase activity (GO:0004721),2/91,0.0178560879862129,0.0978543266247071,0.0194350093798251,0.10828076654474,-1.3153560499692325,5.294848403685614,flw;CanA-14F
GO_Molecular_Function_2018,G-protein coupled photoreceptor activity (GO:0008020),1/9,0.0200726823845553,0.0978543266247071,0.0232799033499611,0.1134895288310604,-1.5837728566989884,6.190010664422748,ninaE
GO_Molecular_Function_2018,protein serine/threonine phosphatase activity (GO:0004722),2/53,0.0063418671987157,0.0978543266247071,0.0070988762996391,0.10828076654474,-1.7796869884690756,9.006252016104089,flw;CanA-14F
GO_Molecular_Function_2018,RNA 7-methylguanosine cap binding (GO:0000340),1/12,0.0266756143359372,0.1040348959101554,0.0301651153833389,0.1176439499950219,-3.1918002528819813,11.567101517050451,eIF4EHP
GO_Molecular_Function_2018,"phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)",1/11,0.0244794853064108,0.1040348959101554,0.0278750684302971,0.1176439499950219,-2.778958104176444,10.309711823620674,beta-Spec
