Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,metarhodopsin inactivation (GO:0016060),2/6,2.42983079923e-05,0.000408211574271,9.37745461512e-05,0.0015754123753402,-4.429906007558753,47.068211331696695,Arr2;Arr1
GO_Biological_Process_2018,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)",2/6,2.42983079923e-05,0.000408211574271,9.37745461512e-05,0.0015754123753402,-3.694479600477779,39.25422938979235,CG6999;CG32706
GO_Biological_Process_2018,rRNA 5'-end processing (GO:0000967),2/6,2.42983079923e-05,0.000408211574271,9.37745461512e-05,0.0015754123753402,-3.6655168027813065,38.946496656770776,CG6999;CG32706
GO_Biological_Process_2018,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)",2/6,2.42983079923e-05,0.000408211574271,9.37745461512e-05,0.0015754123753402,-2.7368129835730057,29.0789221410895,CG6999;CG32706
GO_Biological_Process_2018,small-subunit processome assembly (GO:0034462),2/6,2.42983079923e-05,0.000408211574271,9.37745461512e-05,0.0015754123753402,-1.9236411456156752,20.43888692303928,CG6999;CG32706
GO_Biological_Process_2018,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",2/9,5.81761226792e-05,0.0008144657175094,0.0001835939292541,0.0025703150095575,-2.583953004201386,25.19880155818345,CG6999;CG32706
GO_Biological_Process_2018,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",2/13,0.0001256455694134,0.0015077468329613,0.000348960923391,0.0041829344886886,-2.8597714823815314,25.686597734299976,CG6999;CG32706
GO_Biological_Process_2018,rhodopsin mediated signaling pathway (GO:0016056),2/14,0.0001464692976693,0.001537927625528,0.0003983747132084,0.0041829344886886,-3.156885239297104,27.871176055488,ninaE;Arr2
GO_Biological_Process_2018,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",2/15,0.0001688679216834,0.0015761006023791,0.00045099576768,0.0042092938316806,-1.8355862899117856,15.944625142450064,CG6999;CG32706
GO_Biological_Process_2018,regulation of rhodopsin mediated signaling pathway (GO:0022400),2/17,0.0002183746080314,0.0018343467074643,0.0005658167644501,0.0047528608213808,-2.7011911874164425,22.769147052404318,Arr2;Arr1
GO_Biological_Process_2018,deactivation of rhodopsin mediated signaling (GO:0016059),2/18,0.0002454750624417,0.0018745368404639,0.0006279953152908,0.0047956005894935,-2.5859100508923465,21.494899407741062,Arr2;Arr1
GO_Biological_Process_2018,ribosomal small subunit assembly (GO:0000028),2/24,0.0004406987319445,0.0030848911236121,0.0010671493852022,0.0074700456964159,-2.5890841325787406,20.00623903034477,CG6999;CG32706
GO_Biological_Process_2018,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",2/31,0.0007383397296831,0.0047708105610298,0.0017204377754831,0.0111166748569682,-1.9231991282914092,13.868393736668336,CG6999;CG32706
KEGG_2019,Phototransduction,2/38,0.0011100186058377,0.0055500930291885,0.0015427818606099,0.0077139093030498,-12.597836955176104,85.7078531098052,ninaE;Arr2
GO_Biological_Process_2018,germarium-derived oocyte differentiation (GO:0030706),1/7,0.0090659414758063,0.0406695780568137,0.0151092603494496,0.0684433697068014,-4.430984759548649,20.839943028746383,slmo
GO_Biological_Process_2018,optomotor response (GO:0071632),1/6,0.0077756627537869,0.0406695780568137,0.0132323246240918,0.0684433697068014,-3.9835514000553807,19.34713948555969,ninaE
GO_Biological_Process_2018,pteridine-containing compound biosynthetic process (GO:0042559),1/10,0.0129271049078163,0.0406695780568137,0.0207200942404795,0.0684433697068014,-4.328239890632801,18.82104392997861,se
GO_Biological_Process_2018,detection of light stimulus (GO:0009583),1/8,0.0103546067844574,0.0406695780568137,0.0169828635317063,0.0684433697068014,-4.210189412099797,19.241928697276578,ninaE
GO_Biological_Process_2018,germ-band extension (GO:0007377),1/11,0.0142109415903475,0.0406695780568137,0.0225837327311807,0.0684433697068014,-3.9151524276307823,16.654052532683046,xit
GO_Biological_Process_2018,negative regulation of compound eye retinal cell programmed cell death (GO:0046673),1/9,0.0116416606177944,0.0406695780568137,0.0188531396668377,0.0684433697068014,-3.784773427427412,16.854221249140092,ninaE
GO_Biological_Process_2018,negative regulation of retinal cell programmed cell death (GO:0046671),1/9,0.0116416606177944,0.0406695780568137,0.0188531396668377,0.0684433697068014,-3.663397310648975,16.313713351964395,ninaE
GO_Biological_Process_2018,apical constriction involved in gastrulation (GO:0003384),1/12,0.0154931725930719,0.0406695780568137,0.0244440606095719,0.0684433697068014,-3.516214761292071,14.653318084869433,xit
GO_Biological_Process_2018,epithelial cell morphogenesis involved in gastrulation (GO:0003381),1/12,0.0154931725930719,0.0406695780568137,0.0244440606095719,0.0684433697068014,-3.495569278467745,14.567281011659096,xit
GO_Biological_Process_2018,organophosphate ester transport (GO:0015748),1/9,0.0116416606177944,0.0406695780568137,0.0188531396668377,0.0684433697068014,-3.1114333025384924,13.855726449276904,slmo
GO_Biological_Process_2018,detection of mechanical stimulus (GO:0050982),1/9,0.0116416606177944,0.0406695780568137,0.0188531396668377,0.0684433697068014,-3.056908596391009,13.61291892629694,brv3
GO_Biological_Process_2018,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),1/10,0.0129271049078163,0.0406695780568137,0.0207200942404795,0.0684433697068014,-3.050219068871,13.263661105181091,ninaE
GO_Biological_Process_2018,eye pigment metabolic process (GO:0042441),1/12,0.0154931725930719,0.0406695780568137,0.0244440606095719,0.0684433697068014,-2.8890676958134964,12.039773105303649,se
GO_Biological_Process_2018,maturation of 5.8S rRNA (GO:0000460),1/11,0.0142109415903475,0.0406695780568137,0.0225837327311807,0.0684433697068014,-2.567474008218017,10.921374786686473,Rbm13
GO_Biological_Process_2018,detection of UV (GO:0009589),1/7,0.0090659414758063,0.0406695780568137,0.0151092603494496,0.0684433697068014,-1.3786898091929118,6.4842960734579895,ninaE
GO_Biological_Process_2018,ribonucleoprotein complex assembly (GO:0022618),2/107,0.0084753301357836,0.0406695780568137,0.0176468394431789,0.0684433697068014,-1.3055010696465652,6.228017753168883,CG6999;CG32706
GO_Biological_Process_2018,negative regulation of signal transduction (GO:0009968),2/146,0.0153369707841698,0.0406695780568137,0.0312531464809477,0.0764457002494298,-1.0391273493464912,4.340943044726212,Arr2;Arr1
GO_Biological_Process_2018,pteridine metabolic process (GO:0019889),1/6,0.0077756627537869,0.0406695780568137,0.0132323246240918,0.0684433697068014,-4.646279591120661,22.56584899019276,se
GO_Biological_Process_2018,sensory perception of smell (GO:0007608),2/130,0.0123045226869266,0.0406695780568137,0.0252781864794023,0.0684957311054773,-1.1574925268152805,5.090407191384152,Arr2;Arr1
GO_Biological_Process_2018,phospholipid transport (GO:0015914),1/13,0.016773799845305,0.0426969450607764,0.0263010833368512,0.0690403437592345,-1.7047996150179825,6.969113667481219,slmo
GO_Molecular_Function_2018,G-protein coupled photoreceptor activity (GO:0008020),1/9,0.0116416606177944,0.0443277243909419,0.0216369763578843,0.0932838157507086,-1.6089937761317386,7.165115062078258,ninaE
GO_Molecular_Function_2018,RNA binding (GO:0003723),3/401,0.0147759081303139,0.0443277243909419,0.0532744693179063,0.1274014307292161,-1.0160049221685503,4.282214115401338,CG2124;CG6999;CG32706
GO_Molecular_Function_2018,Hsp70 protein binding (GO:0030544),1/7,0.0090659414758063,0.0443277243909419,0.0173444673708544,0.0932838157507086,-3.341024224876197,15.713607309083551,HIP-R
GO_Molecular_Function_2018,"oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor (GO:0016681)",1/11,0.0142109415903475,0.0443277243909419,0.0259121710418635,0.0932838157507086,-2.473146164478672,10.520128374454083,RFeSP
