Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,regulation of autophagosome maturation (GO:1901096),2/6,0.0005809554300378,0.0997433594706919,0.001478043351336,0.1999501530990576,-3.1112158224594726,23.18116046086245,Rab21;Mitf
GO_Biological_Process_2018,positive regulation of filopodium assembly (GO:0051491),3/23,0.0003943095754384,0.0997433594706919,0.0008983725097824,0.1999501530990576,-2.778751624695137,21.78089513414764,CG15456;HSPC300;Cdc42
GO_Biological_Process_2018,positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),3/27,0.0006393805094275,0.0997433594706919,0.001373560416997,0.1999501530990576,-2.3611990913251004,17.366644828035774,CG15456;HSPC300;Cdc42
GO_Biological_Process_2018,positive regulation of lamellipodium organization (GO:1902745),2/10,0.001714301776435,0.1002866539214485,0.0034179513350266,0.1999501530990576,-3.629963160222668,23.118325730293588,HSPC300;Cdc42
GO_Biological_Process_2018,positive regulation of organelle organization (GO:0010638),2/10,0.001714301776435,0.1002866539214485,0.0034179513350266,0.1999501530990576,-3.1507524603765145,20.06635286900269,Rab21;Mitf
GO_Biological_Process_2018,regulation of filopodium assembly (GO:0051489),3/33,0.0011602372613181,0.1002866539214485,0.0023404349902673,0.1999501530990576,-2.2626849155429194,15.293783210931986,CG15456;HSPC300;Cdc42
GO_Biological_Process_2018,negative regulation of protein kinase activity (GO:0006469),2/10,0.001714301776435,0.1002866539214485,0.0034179513350266,0.1999501530990576,-2.546735381814331,16.219519457061306,pcs;PRAS40
GO_Biological_Process_2018,positive regulation of lamellipodium assembly (GO:0010592),2/10,0.001714301776435,0.1002866539214485,0.0034179513350266,0.1999501530990576,-3.5813304246167985,22.80859602415994,HSPC300;Cdc42
GO_Molecular_Function_2018,fucosyltransferase activity (GO:0008417),2/8,0.0010755223632445,0.1116347021348952,0.0019921394783837,0.1823476841314435,-5.228571357204478,35.73701760795403,FucTA;FucT6
GO_Molecular_Function_2018,nucleosome-dependent ATPase activity (GO:0070615),2/11,0.0020866299464466,0.1116347021348952,0.0034083679276905,0.1823476841314435,-2.535868013370499,15.651897181363331,MEP-1;Caf1-55
GO_Biological_Process_2018,actin polymerization or depolymerization (GO:0008154),2/14,0.0034099919155615,0.1704141493959165,0.0060969578323322,0.3062520220081912,-3.14876958622854,17.88830284280631,capt;Cdc42
GO_Biological_Process_2018,neuron development (GO:0048666),3/49,0.0036413279785452,0.1704141493959165,0.0066604991013013,0.3062520220081912,-1.5398570041707864,8.646923545522446,fru;M6;Cdc42
GO_Biological_Process_2018,embryo development ending in birth or egg hatching (GO:0009792),3/57,0.0055757973969334,0.1759580851911625,0.0098904225864996,0.3062520220081912,-1.6259803663400996,8.43773233876188,Myc;Trf;Yp3
GO_Biological_Process_2018,cytoplasmic translation (GO:0002181),4/107,0.0047029000717314,0.1759580851911625,0.0091386581482933,0.3062520220081912,-1.3072640412795893,7.006380881974329,RpL29;RpL39;RpL22;RpL41
GO_Biological_Process_2018,regulation of lamellipodium assembly (GO:0010591),2/18,0.0056396822176654,0.1759580851911625,0.0094713714584921,0.3062520220081912,-2.744588677075343,14.211281350369468,HSPC300;Cdc42
GO_Biological_Process_2018,regulation of protein kinase activity (GO:0045859),2/16,0.0044598172798355,0.1759580851911625,0.0076998961230186,0.3062520220081912,-2.5637717030289333,13.876792453940562,PRAS40;Cdc42
GO_Biological_Process_2018,positive regulation of macroautophagy (GO:0016239),2/17,0.0050337075373408,0.1759580851911625,0.0085648925451813,0.3062520220081912,-2.567234777696657,13.584775651123056,Rab21;Mitf
GO_Molecular_Function_2018,core promoter sequence-specific DNA binding (GO:0001046),1/12,0.0730540994174438,0.1861140151825354,0.0856094418819653,0.2181002447945308,-2.52868861844217,6.616452909711786,Trf
GO_Molecular_Function_2018,protease binding (GO:0002020),1/12,0.0730540994174438,0.1861140151825354,0.0856094418819653,0.2181002447945308,-2.4728471028261745,6.470340511456999,Myc
GO_Molecular_Function_2018,alditol:NADP+ 1-oxidoreductase activity (GO:0004032),1/9,0.0553027506207479,0.1861140151825354,0.0665117268032908,0.2181002447945308,-2.642534983210058,7.649960753339233,CG6083
GO_Molecular_Function_2018,polymerase III regulatory region sequence-specific DNA binding (GO:0000992),1/10,0.0612570227090743,0.1861140151825354,0.0729204708086666,0.2181002447945308,-2.529585193372584,7.0643138316911465,Trf
GO_Molecular_Function_2018,potassium ion antiporter activity (GO:0022821),1/11,0.0671740619904561,0.1861140151825354,0.0792862823474535,0.2181002447945308,-3.7179617142530814,10.040236962669194,zyd
GO_Molecular_Function_2018,microtubule-severing ATPase activity (GO:0008568),1/8,0.0493110133040359,0.1861140151825354,0.0600597680702518,0.2181002447945308,-3.354945652728792,10.097070703298822,kat-60L1
GO_Molecular_Function_2018,calcium ion transmembrane transporter activity (GO:0015085),2/29,0.0143055014031014,0.1861140151825354,0.0187986891753777,0.2181002447945308,-1.9113813880812156,8.117849113850417,zyd;wtrw
GO_Molecular_Function_2018,RNA polymerase II basal transcription factor binding (GO:0001091),1/12,0.0730540994174438,0.1861140151825354,0.0856094418819653,0.2181002447945308,-1.9888277548068225,5.2038772544932455,Trf
GO_Molecular_Function_2018,GTPase activity (GO:0003924),3/107,0.0301716907452347,0.1861140151825354,0.038909200796232,0.2181002447945308,-1.1204111473741754,3.922392694955617,Rab21;Arl1;Cdc42
GO_Molecular_Function_2018,nucleoside-triphosphatase activity (GO:0017111),5/230,0.0153068941958724,0.1861140151825354,0.0212031616621656,0.2181002447945308,-0.9701001694203378,4.054487045784666,kat-60L1;Rab21;Arl1;sun;Cdc42
GO_Molecular_Function_2018,G-protein coupled photoreceptor activity (GO:0008020),1/9,0.0553027506207479,0.1861140151825354,0.0665117268032908,0.2181002447945308,-1.477844995081437,4.2782617008757,Rh2
GO_Molecular_Function_2018,GTP binding (GO:0005525),2/56,0.0486275761268158,0.1861140151825354,0.05953790513066,0.2181002447945308,-1.4092611129540016,4.260991870913856,Arl1;Cdc42
GO_Molecular_Function_2018,poly(U) RNA binding (GO:0008266),1/12,0.0730540994174438,0.1861140151825354,0.0856094418819653,0.2181002447945308,-1.530963659622852,4.005850655750195,Sxl
GO_Molecular_Function_2018,alcohol dehydrogenase (NADP+) activity (GO:0008106),1/9,0.0553027506207479,0.1861140151825354,0.0665117268032908,0.2181002447945308,-2.6462967724437645,7.660850879745516,CG6083
GO_Molecular_Function_2018,calcium channel activity (GO:0005262),2/32,0.017263773394708,0.1861140151825354,0.0223889701327515,0.2181002447945308,-1.9943401555979203,8.095315863791228,zyd;wtrw
GO_Molecular_Function_2018,gap junction channel activity (GO:0005243),1/7,0.0432815769395244,0.1861140151825354,0.0535643105427971,0.2181002447945308,-3.2957864477971137,10.348862418081527,ogre
GO_Molecular_Function_2018,palmitoyltransferase activity (GO:0016409),2/28,0.0133734965153068,0.1861140151825354,0.0176617338599562,0.2181002447945308,-2.487973522892424,10.734313006679844,CG4676;Patsas
GO_Molecular_Function_2018,core promoter binding (GO:0001047),1/11,0.0671740619904561,0.1861140151825354,0.0792862823474535,0.2181002447945308,-2.460345584161004,6.644084736089284,Trf
GO_Molecular_Function_2018,guanyl ribonucleotide binding (GO:0032561),2/60,0.0549968015397526,0.1861140151825354,0.0669631252650278,0.2181002447945308,-1.9327868090046008,5.60600996555457,Arl1;Cdc42
GO_Molecular_Function_2018,kinase binding (GO:0019900),2/64,0.0616412826708548,0.1861140151825354,0.074680822883802,0.2181002447945308,-1.147776777248667,3.1981921386019305,Rab21;Cdc42
GO_Molecular_Function_2018,transcription coactivator activity (GO:0003713),2/63,0.0599553244631406,0.1861140151825354,0.0727251123858315,0.2181002447945308,-1.221007492549509,3.436105056179243,MED21;yki
GO_Molecular_Function_2018,purine ribonucleoside binding (GO:0032550),2/56,0.0486275761268158,0.1861140151825354,0.05953790513066,0.2181002447945308,-1.6519123147722954,4.99466343036529,Arl1;Cdc42
GO_Molecular_Function_2018,protein-cysteine S-acyltransferase activity (GO:0019707),2/24,0.0099260309362348,0.1861140151825354,0.0134249802635047,0.2181002447945308,-2.577417024146314,11.888579809211487,CG4676;Patsas
GO_Molecular_Function_2018,kinase inhibitor activity (GO:0019210),1/6,0.0372142062254554,0.1861140151825354,0.0470250683347359,0.2181002447945308,-2.9189644064775133,9.606500726953536,pcs
GO_Molecular_Function_2018,calcium:cation antiporter activity (GO:0015368),1/8,0.0493110133040359,0.1861140151825354,0.0600597680702518,0.2181002447945308,-3.1688447901838703,9.536980090345793,zyd
GO_Molecular_Function_2018,protein kinase inhibitor activity (GO:0004860),1/7,0.0432815769395244,0.1861140151825354,0.0535643105427971,0.2181002447945308,-2.849590265804511,8.947793819719791,pcs
