Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
KEGG_2019,Phototransduction,3/38,2.8342001678e-06,8.5026005034e-06,8.1887416224e-06,2.45662248672e-05,-12.597836955176104,160.92162973762404,ninaE;trpl;Arr2
GO_Biological_Process_2018,metarhodopsin inactivation (GO:0016060),2/6,7.8617509359e-06,0.0004323963014768,1.88693442712e-05,0.0010378139349189,-4.434744156580791,52.12377081460141,Arr2;Arr1
GO_Biological_Process_2018,regulation of rhodopsin mediated signaling pathway (GO:0022400),2/17,7.09408601267e-05,0.0010968909767812,0.0001147026527832,0.0017516601038735,-2.7115947034161647,25.905664657191604,Arr2;Arr1
GO_Biological_Process_2018,rhodopsin mediated signaling pathway (GO:0016056),2/14,4.75295357485e-05,0.0010968909767812,8.05953505317e-05,0.0017516601038735,-3.168267281334302,31.537437017223017,ninaE;Arr2
GO_Biological_Process_2018,deactivation of rhodopsin mediated signaling (GO:0016059),2/18,7.97738892204e-05,0.0010968909767812,0.0001273934620998,0.0017516601038735,-2.596921219603679,24.505364865975125,Arr2;Arr1
GO_Biological_Process_2018,detection of visible light (GO:0009584),2/21,0.000109351319837,0.0012028645182078,0.0001694191806508,0.0018636109871589,-2.252601029927387,20.54584951765324,ninaE;trpl
GO_Biological_Process_2018,sensory perception of sound (GO:0007605),2/63,0.0009986322938925,0.0078463965948703,0.0013682874383472,0.0107508298727281,-1.4845181516444368,10.256719873061218,trpl;Arr2
GO_Biological_Process_2018,response to light stimulus (GO:0009416),2/62,0.0009673484790624,0.0078463965948703,0.0013267487629606,0.0107508298727281,-1.413595192257148,9.811696032130472,ninaE;trpl
GO_Biological_Process_2018,sensory perception of mechanical stimulus (GO:0050954),2/72,0.0013018825540971,0.0089504425594179,0.0017700307738491,0.0121689615702129,-1.5424830813251524,10.248171126107374,trpl;Arr2
GO_Biological_Process_2018,pteridine-containing compound biosynthetic process (GO:0042559),1/10,0.0074764147321236,0.0205601405133399,0.0097282889640709,0.0267527946511949,-4.353044742195719,21.312515397312392,se
GO_Biological_Process_2018,body fluid secretion (GO:0007589),1/6,0.0044921314293097,0.0205601405133399,0.006200158028749,0.0267527946511949,-3.423320085700115,18.50451018945162,trpl
GO_Biological_Process_2018,negative regulation of compound eye retinal cell programmed cell death (GO:0046673),1/9,0.0067311276990221,0.0205601405133399,0.0088472643100406,0.0267527946511949,-3.7931877279869406,18.969779570080792,ninaE
GO_Biological_Process_2018,detection of light stimulus involved in visual perception (GO:0050908),1/9,0.0067311276990221,0.0205601405133399,0.0088472643100406,0.0267527946511949,-3.235355658266419,16.180054368334417,trpl
GO_Biological_Process_2018,pteridine metabolic process (GO:0019889),1/6,0.0044921314293097,0.0205601405133399,0.006200158028749,0.0267527946511949,-4.665856199441218,25.220949669805258,se
GO_Biological_Process_2018,optomotor response (GO:0071632),1/6,0.0044921314293097,0.0205601405133399,0.006200158028749,0.0267527946511949,-3.988603761725556,21.560110390741052,ninaE
GO_Biological_Process_2018,negative regulation of retinal cell programmed cell death (GO:0046671),1/9,0.0067311276990221,0.0205601405133399,0.0088472643100406,0.0267527946511949,-3.676212273147146,18.384783848132045,ninaE
GO_Biological_Process_2018,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),1/10,0.0074764147321236,0.0205601405133399,0.0097282889640709,0.0267527946511949,-3.077145041613317,15.065708018904315,ninaE
GO_Biological_Process_2018,negative regulation of signal transduction (GO:0009968),2/146,0.005221517644643,0.0205601405133399,0.0069079849688101,0.0267527946511949,-1.060990912904071,5.575472428582831,Arr2;Arr1
GO_Biological_Process_2018,sensory perception of smell (GO:0007608),2/130,0.0041649892341641,0.0205601405133399,0.0055280665433114,0.0267527946511949,-1.1765239725044496,6.44857682281257,Arr2;Arr1
GO_Biological_Process_2018,detection of UV (GO:0009589),1/7,0.0052389863871818,0.0205601405133399,0.0070831992692969,0.0267527946511949,-1.382879082390095,7.262365454448633,ninaE
GO_Biological_Process_2018,detection of light stimulus (GO:0009583),1/8,0.0059853183634932,0.0205601405133399,0.007965567887638,0.0267527946511949,-4.226243135937073,21.631796208394,ninaE
GO_Biological_Process_2018,visual perception (GO:0007601),1/13,0.0097091454185492,0.0219148950320021,0.012367336578369,0.0280197043520963,-2.902316711533893,13.4513295647547,trpl
GO_Biological_Process_2018,eye pigment metabolic process (GO:0042441),1/12,0.0089654232529618,0.0219148950320021,0.0114883246718384,0.0280197043520963,-2.934705331302498,13.835316006305275,se
GO_Biological_Process_2018,detection of light stimulus involved in sensory perception (GO:0050962),1/12,0.0089654232529618,0.0219148950320021,0.0114883246718384,0.0280197043520963,-3.621462495241379,17.072950218279605,trpl
GO_Biological_Process_2018,sensory perception of chemical stimulus (GO:0007606),2/204,0.0099613159236373,0.0219148950320021,0.0130816631384565,0.0280197043520963,-0.9331744573330224,4.301044088772454,Arr2;Arr1
GO_Biological_Process_2018,transition metal ion transport (GO:0000041),1/13,0.0097091454185492,0.0219148950320021,0.012367336578369,0.0280197043520963,-2.903764319404016,13.45803877414738,trpl
GO_Biological_Process_2018,secretion (GO:0046903),1/14,0.0104523466401661,0.0221107332772744,0.013245678420991,0.0280197043520963,-2.751680306831596,12.550217868777082,trpl
GO_Biological_Process_2018,regulation of cytosolic calcium ion concentration (GO:0051480),1/17,0.0126788280285844,0.0258272422804498,0.0158766878230448,0.0323414011210172,-2.657017578384196,11.60537919825912,trpl
GO_Biological_Process_2018,regulation of compound eye retinal cell programmed cell death (GO:0046669),1/19,0.014160550439618,0.0268562163509997,0.017627351571385,0.0334311840146957,-2.544219090660537,10.831492024206913,ninaE
GO_Biological_Process_2018,photoreceptor cell morphogenesis (GO:0008594),1/19,0.014160550439618,0.0268562163509997,0.017627351571385,0.0334311840146957,-2.7853985559997985,11.85826423294247,ninaE
GO_Biological_Process_2018,"phototransduction, visible light (GO:0007603)",1/20,0.01490063310564,0.02731782736034,0.0185016819639257,0.0339197502671972,-2.5859330120252872,10.877343402171448,trpl
GO_Biological_Process_2018,phototaxis (GO:0042331),1/21,0.0156401971948812,0.0277487369586602,0.0193753452681108,0.0343756125724547,-2.614486652507813,10.870802643379966,ninaE
GO_Biological_Process_2018,calcium ion transmembrane transport (GO:0070588),1/24,0.0178557813765849,0.0297596356276415,0.0219923368927815,0.0366538948213025,-2.423590310911921,9.755988144304098,trpl
GO_Biological_Process_2018,cellular response to radiation (GO:0071478),1/24,0.0178557813765849,0.0297596356276415,0.0219923368927815,0.0366538948213025,-2.555899451571691,10.28858905537726,ninaE
GO_Biological_Process_2018,response to UV (GO:0009411),1/28,0.0208026539976145,0.0336513520549646,0.0254723455326137,0.0412052648321693,-2.20911836815925,8.555196823341362,ninaE
GO_Biological_Process_2018,photoreceptor cell development (GO:0042461),1/29,0.0215380816061631,0.0338455568096848,0.0263406873837149,0.0413925087458378,-2.077215904580932,7.972214789365242,ninaE
GO_Biological_Process_2018,cellular calcium ion homeostasis (GO:0006874),1/30,0.0222729936670375,0.0340281847690851,0.0272083659564285,0.0415683368778769,-2.0555280720839715,7.820010669509808,trpl
GO_Biological_Process_2018,cellular response to decreased oxygen levels (GO:0036294),1/32,0.0237412724916266,0.0343623680799859,0.0289417349554417,0.0418893532249815,-1.8834962600336485,7.045293646858407,trpl
GO_Biological_Process_2018,cellular response to light stimulus (GO:0071482),1/32,0.0237412724916266,0.0343623680799859,0.0289417349554417,0.0418893532249815,-2.0130723657388496,7.52997829087952,ninaE
GO_Biological_Process_2018,calcium-mediated signaling (GO:0019722),1/37,0.0274029709510563,0.0367600829831243,0.0332635796145851,0.0446218750927362,-1.974854076512428,7.103755187188101,trpl
GO_Biological_Process_2018,divalent metal ion transport (GO:0070838),1/36,0.0266716583304887,0.0367600829831243,0.0324005321790539,0.0446218750927362,-2.02148524760305,7.3261733671525615,trpl
GO_Biological_Process_2018,cation transport (GO:0006812),1/37,0.0274029709510563,0.0367600829831243,0.0332635796145851,0.0446218750927362,-1.9850742440610107,7.140518191149077,trpl
GO_Biological_Process_2018,eye pigment biosynthetic process (GO:0006726),1/39,0.0288640579182608,0.0369191438489382,0.0349876951875251,0.0447517031468345,-2.0974124342014098,7.435658739951912,se
GO_Biological_Process_2018,second-messenger-mediated signaling (GO:0019932),1/39,0.0288640579182608,0.0369191438489382,0.0349876951875251,0.0447517031468345,-1.9319175377081603,6.848953162421567,trpl
GO_Biological_Process_2018,calcium ion transport (GO:0006816),1/42,0.0310518477084356,0.0388148096355446,0.0375689266057252,0.0469611582571566,-1.895821148209841,6.582474854607488,trpl
GO_Biological_Process_2018,rhabdomere development (GO:0042052),1/43,0.0317800881265509,0.0388423299324511,0.0384280209073893,0.0469675811090314,-1.691109084790316,5.832492072362408,ninaE
GO_Biological_Process_2018,glutathione metabolic process (GO:0006749),1/47,0.0346879444623774,0.0414747162050165,0.0418578284427907,0.0500474035729019,-1.594687592124915,5.360323987097891,se
KEGG_2019,Folate biosynthesis,1/40,0.0295938329379564,0.0443907494069346,0.0512232155483618,0.0768348233225428,-76.33333333333334,268.7077821684811,se
GO_Biological_Process_2018,neuropeptide signaling pathway (GO:0007218),1/57,0.0419219641439958,0.0490576176153142,0.0503865060399574,0.0589629325999501,-1.4404110582040055,4.568905209274554,Nplp3
