Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Molecular_Function_2018,transcription coactivator activity (GO:0003713),4/63,0.0001635861913522,0.0116146195860108,0.0003625263815376,0.0257393730891696,-1.3604343529959355,11.860498701015567,CG11710;dmpd;MED21;yki
GO_Molecular_Function_2018,G-protein coupled photoreceptor activity (GO:0008020),2/9,0.0006601818469818,0.0234364555678556,0.0013932039973387,0.0494587419055273,-1.6140379600182886,11.819592290587703,ninaE;Rh2
KEGG_2019,Oxidative phosphorylation,4/144,0.0036135633006061,0.1011797724169713,0.0068655801400061,0.1922362439201714,-1.4284956754624456,8.032518220773671,CG40472;ND-AGGG;VhaM9.7-a;sun
GO_Biological_Process_2018,negative regulation of protein kinase activity (GO:0006469),2/10,0.0008228941449266,0.1217883334491416,0.0015128232242332,0.2238978371865193,-2.550849954572955,18.11787857358178,pcs;PRAS40
GO_Biological_Process_2018,protein transport (GO:0015031),5/146,0.0004422073232585,0.1217883334491416,0.000806017157635,0.2238978371865193,-1.186010684201257,9.160428352158306,Rab21;Osbp;Arl1;Sara;Sec71
GO_Biological_Process_2018,positive regulation of glial cell proliferation (GO:0060252),1/6,0.0258209961334462,0.1913581881094274,0.0339900165420544,0.2329101341241919,-2.087050978456741,7.63144239129318,yki
GO_Biological_Process_2018,RNA transport (GO:0050658),2/52,0.0215472114645635,0.1913581881094274,0.0288056072872804,0.2329101341241919,-1.9994601177595013,7.672945935516162,Arl1;Bet3
GO_Biological_Process_2018,protein localization to Golgi apparatus (GO:0034067),1/7,0.0300599464864219,0.1913581881094274,0.0387528976230746,0.2329101341241919,-4.952555608135824,17.356536577006498,Arl1
GO_Biological_Process_2018,regulation of G-protein coupled receptor protein signaling pathway (GO:0008277),1/8,0.0342806629710274,0.1913581881094274,0.0434928947140964,0.2329101341241919,-2.0378605201195144,6.874057807369075,sun
GO_Biological_Process_2018,negative regulation of programmed cell death (GO:0043069),3/89,0.0068973389892258,0.1913581881094274,0.0102599559343998,0.2329101341241919,-1.3485464862002974,6.711202868664142,Nf-YB;yki;CG15456
GO_Biological_Process_2018,intracellular protein transport (GO:0006886),4/173,0.00689524318485,0.1913581881094274,0.0107941002708886,0.2329101341241919,-1.111840993661065,5.533547568080644,Rab21;Osbp;Arl1;Sara
GO_Biological_Process_2018,positive regulation of nucleic acid-templated transcription (GO:1903508),3/135,0.0211242765593673,0.1913581881094274,0.0299934622286422,0.2329101341241919,-1.4250185502293908,5.496770156050866,CG11710;dmpd;Nf-YB
GO_Biological_Process_2018,anterior/posterior pattern specification (GO:0009952),2/46,0.0171029364246784,0.1913581881094274,0.0231291217994701,0.2329101341241919,-1.3541881476498656,5.509521397903169,pcs;dmpd
GO_Biological_Process_2018,vesicle-mediated transport (GO:0016192),5/235,0.0036299085606694,0.1913581881094274,0.0060931978303024,0.2329101341241919,-1.081557696933311,6.076783641304848,Rab21;Arl1;Sec71;Bet3;Arr1
GO_Biological_Process_2018,negative regulation of retinal cell programmed cell death (GO:0046671),1/9,0.0384832231101603,0.1913581881094274,0.0482101148839465,0.2329101341241919,-3.564081351288151,11.610112245959986,ninaE
GO_Biological_Process_2018,positive regulation of cysteine-type endopeptidase activity (GO:2001056),1/10,0.0426677041054804,0.1913581881094274,0.0529046647151815,0.2329101341241919,-3.5532038579567016,11.207917081909734,Cyt-c-p
GO_Biological_Process_2018,negative regulation of protein tyrosine kinase activity (GO:0061099),1/7,0.0300599464864219,0.1913581881094274,0.0387528976230746,0.2329101341241919,-3.424317444500009,12.000731678632745,pcs
GO_Biological_Process_2018,positive regulation of R7 cell differentiation (GO:0045678),1/8,0.0342806629710274,0.1913581881094274,0.0434928947140964,0.2329101341241919,-3.504509365429847,11.821319332992555,Nf-YB
GO_Biological_Process_2018,regulation of ARF protein signal transduction (GO:0032012),1/7,0.0300599464864219,0.1913581881094274,0.0387528976230746,0.2329101341241919,-4.638818072500627,16.257024033646715,Sec71
GO_Biological_Process_2018,tetrahydrofolate metabolic process (GO:0046653),1/8,0.0342806629710274,0.1913581881094274,0.0434928947140964,0.2329101341241919,-4.900142533857715,16.52903263473128,CG5412
GO_Biological_Process_2018,oxidative phosphorylation (GO:0006119),1/8,0.0342806629710274,0.1913581881094274,0.0434928947140964,0.2329101341241919,-4.7980617391795874,16.184696367988906,Cyt-c-p
