gene,sex_effect,treatment_effect,interaction,interaction_p,treatment_p,interaction_padj,treatment_padj
Mic10b,-1.688843488693237,1.4366724491119385,2.568650722503661,0.00045448270519585535,0.0002936581979576109,0.7500783219124875,0.3034084169913398
l(3)07882,0.37064921855926547,-0.2183545827865605,-0.2211554050445561,0.0005752716411335426,3.9734358731866955e-05,0.7500783219124875,0.18669188450167687
spri,-0.1481391191482539,0.18835794925689564,0.4141943454742427,0.0009585205677869506,0.0013765916000132569,0.7500783219124875,0.379027414319476
asRNA:CR46354,-0.08293810486793513,-0.12235221266746532,0.9665456414222713,0.0010024584272975525,0.094902572288137,0.7500783219124875,0.5101007329200505
Rbm13,0.8659726381301882,-0.2457965612411499,-0.31597089767456055,0.0012201753616789875,0.0002203104911029847,0.7500783219124875,0.29575109784210674
CG42748,-0.026012182235717413,0.05258631706237793,0.3446111679077144,0.0012838923216143396,0.06959367027112014,0.7500783219124875,0.5036001162544491
MTF-1,-0.15637058019638056,0.17042046785354614,0.38003695011138894,0.0013554729175865113,0.0020452909225094794,0.7500783219124875,0.379027414319476
lncRNA:CR46088,0.23255498707294472,-0.11404745280742656,0.5916837751865385,0.0014264017423530288,0.03900684321366083,0.7500783219124875,0.47848502847775154
lncRNA:CR45382,0.08307778835296634,-0.38220566511154164,0.4507745504379271,0.0014359949458605421,0.00018588279400853878,0.7500783219124875,0.2911234358830398
CG15021,-0.07670059055089948,0.13142339140176768,-0.5464074462652206,0.001619572778240693,0.021787029422455625,0.7500783219124875,0.46007351793891127
sun,-1.2502326965332027,0.8347134590148921,1.1943817138671866,0.0016289925775400517,0.0004504800649882605,0.7500783219124875,0.35476975959325846
CG16772,-0.027393773198127733,-0.08470030128955844,0.6211155652999876,0.0016405152282970392,0.10821322879707704,0.7500783219124875,0.5175015440474027
Hip14,-0.05550754070281939,0.1041699647903438,0.5419456958770748,0.0016548863765039796,0.04413211688359191,0.7500783219124875,0.4919448426513798
CG13055,0.3182079792022708,0.026622295379638228,1.0861101150512693,0.0017503563535219342,0.7340594297105054,0.7500783219124875,0.8730485332223287
Lztr1,-0.3334298133850092,0.40349960327148304,1.022189617156982,0.0017631194514559638,0.004243700360526265,0.7500783219124875,0.4296833807135809
kar,-0.33329975605010975,0.5567268133163448,0.800184965133667,0.0018066148363135497,0.0005098123101030495,0.7500783219124875,0.35891804184237536
Stacl,0.21733903884887784,-0.23473596572876065,-0.15808963775634854,0.0018302790324226472,2.6151060971607856e-05,0.7500783219124875,0.18669188450167687
Glos,-0.11816793680191023,0.3982836604118345,0.690046429634094,0.0019000986901171215,0.0011021763202976832,0.7500783219124875,0.379027414319476
Pde8,-0.09064722061157227,0.16779088973999023,0.630615234375,0.0019494110529474301,0.018407513293374502,0.7500783219124875,0.4536371290401587
Cubn,-0.15768486261367778,0.07441359758377053,0.3939143419265745,0.002219445398095379,0.0578226627864794,0.7500783219124875,0.49656454088223223
