leiden_res_0.8,repo,alrm,Eaat1,Gat,moody,Mdr65,Tret1,wrapper,zyd,elav,nSyb,brp,Syt1,ey,Fas2,Adcy1,Pde4,sNPF,Dop1R2,VAChT,ChAT,Gad1,VGAT,VGlut1,ple,DAT,Ddc,SerT,Trhn,Tdc2,Tbh,ninaE,Rh3,Rh4,trp,Vmat
0,0.017,0.033,0.058,0.029,0.008,0.006,0.018,0.01,0.026,1.36,2.79,1.734,2.382,0.033,0.386,0.375,1.602,0.389,0.202,1.721,0.958,0.223,0.139,0.605,0.022,0.019,0.629,0.004,0.012,0.005,0.071,0.418,0.018,0.011,0.015,0.091
1,0.2,0.42,0.321,0.199,0.073,0.007,0.025,0.196,0.356,1.06,2.188,1.328,1.854,0.053,0.468,0.328,1.468,0.361,0.143,0.841,0.55,0.506,0.161,1.012,0.03,0.041,0.815,0.005,0.005,0.005,0.067,0.374,0.014,0.003,0.012,0.135
2,0.83,4.106,3.642,3.706,0.0,0.0,0.01,0.019,0.197,0.522,0.543,0.239,0.546,0.008,0.633,0.057,1.425,0.09,0.042,0.128,0.123,0.14,0.022,0.276,0.043,0.024,0.108,0.0,0.036,0.0,0.011,0.32,0.051,0.0,0.0,0.193
3,0.017,0.049,0.073,0.039,0.007,0.007,0.012,0.005,0.036,1.334,2.392,1.41,2.142,0.02,0.283,0.333,1.297,0.229,0.058,1.323,0.439,0.16,0.115,0.352,0.012,0.028,0.315,0.004,0.013,0.005,0.047,0.491,0.018,0.015,0.009,0.094
4,0.022,0.045,0.069,0.025,0.01,0.005,0.021,0.009,0.024,1.339,2.932,1.815,2.612,0.181,0.337,0.352,1.53,0.74,0.23,0.287,0.202,0.449,0.167,3.569,0.033,0.02,0.275,0.002,0.008,0.004,0.071,0.462,0.018,0.008,0.015,0.087
5,0.308,0.435,0.216,0.118,0.192,0.081,0.111,0.01,0.566,0.779,1.484,0.91,1.17,0.07,0.827,0.282,1.046,0.227,0.094,0.518,0.354,0.31,0.088,0.718,0.073,0.176,0.451,0.045,0.016,0.004,0.032,0.613,0.05,0.021,0.035,0.698
6,0.017,0.031,0.051,0.027,0.007,0.006,0.018,0.008,0.024,1.409,2.929,1.768,2.471,0.053,0.636,0.416,1.813,0.475,0.188,0.447,0.408,0.415,0.192,2.78,0.03,0.05,1.173,0.015,0.021,0.014,0.121,0.336,0.012,0.007,0.011,0.098
7,0.018,0.03,0.043,0.027,0.006,0.004,0.014,0.009,0.026,1.593,2.969,1.87,2.472,0.028,0.689,0.48,1.911,0.648,0.248,1.797,1.281,0.16,0.169,0.375,0.025,0.039,1.656,0.01,0.015,0.007,0.134,0.344,0.013,0.008,0.011,0.081
8,0.02,0.034,0.06,0.021,0.004,0.006,0.029,0.004,0.027,1.387,2.927,1.832,2.484,0.042,0.75,0.372,1.715,1.441,0.155,0.802,0.414,0.275,0.171,0.828,2.08,2.06,1.636,0.218,0.237,0.201,0.177,0.366,0.015,0.004,0.023,3.623
9,0.018,0.033,0.048,0.028,0.005,0.002,0.022,0.006,0.031,1.447,2.88,1.888,2.458,0.038,0.412,0.485,1.827,0.262,0.255,1.76,0.884,0.289,0.166,0.471,0.024,0.018,1.274,0.007,0.007,0.006,0.062,0.331,0.015,0.006,0.014,0.1
10,0.014,0.042,0.064,0.039,0.014,0.007,0.018,0.013,0.039,1.215,2.604,1.545,2.187,0.024,0.198,0.299,1.25,1.012,0.058,1.615,0.626,0.193,0.113,0.418,0.022,0.018,0.437,0.004,0.009,0.002,0.304,0.467,0.008,0.006,0.02,0.11
11,0.015,0.029,0.044,0.029,0.009,0.004,0.034,0.007,0.025,1.461,3.089,2.039,2.719,0.069,0.826,0.64,2.073,0.312,0.224,1.768,1.292,0.15,0.196,1.131,0.022,0.016,0.714,0.007,0.009,0.011,0.126,0.263,0.007,0.008,0.016,0.063
12,0.03,0.037,0.052,0.029,0.008,0.005,0.016,0.011,0.039,1.813,2.931,2.278,2.383,1.084,1.409,1.903,2.728,2.255,1.387,1.613,0.586,0.211,0.209,0.437,0.025,0.279,0.593,0.005,0.007,0.002,0.019,0.371,0.014,0.004,0.014,0.092
13,0.019,0.028,0.048,0.024,0.008,0.003,0.025,0.009,0.024,1.381,3.047,1.908,2.688,0.115,0.656,0.469,1.791,0.506,0.235,0.362,0.282,2.907,0.62,0.474,0.024,0.028,0.712,0.007,0.009,0.005,0.088,0.345,0.016,0.007,0.011,0.081
14,0.018,0.03,0.067,0.039,0.007,0.008,0.022,0.005,0.014,1.627,3.08,1.982,2.801,0.017,0.811,0.295,1.269,0.091,0.065,2.34,1.613,0.196,0.182,0.957,0.024,0.009,0.321,0.006,0.0,0.004,0.021,0.518,0.031,0.008,0.023,0.047
15,0.026,0.051,0.059,0.073,0.009,0.004,0.019,0.012,0.029,1.45,2.724,1.772,2.892,0.02,0.576,0.455,1.834,0.152,0.045,1.811,0.703,0.216,0.175,0.504,0.031,0.029,0.306,0.008,0.008,0.003,0.099,0.377,0.017,0.003,0.023,0.094
16,0.017,0.037,0.05,0.026,0.005,0.004,0.014,0.007,0.021,1.354,2.842,1.853,2.521,0.021,0.548,0.522,1.713,0.327,0.229,1.838,1.1,0.18,0.169,0.375,0.018,0.024,0.927,0.006,0.004,0.002,0.095,0.31,0.012,0.007,0.01,0.076
17,0.026,0.039,0.085,0.028,0.009,0.004,0.027,0.006,0.04,1.403,2.852,1.893,2.774,0.088,0.254,0.317,1.452,0.411,0.183,1.71,0.876,0.446,0.205,0.903,0.035,0.034,0.181,0.005,0.006,0.002,0.076,0.403,0.014,0.007,0.022,0.105
18,0.018,0.033,0.073,0.033,0.004,0.004,0.019,0.007,0.025,1.343,2.933,1.97,2.806,0.031,0.237,0.269,1.571,0.237,0.149,2.012,1.42,0.233,0.197,0.51,0.04,0.038,0.241,0.0,0.002,0.004,0.114,0.37,0.009,0.007,0.013,0.134
19,0.676,0.414,0.784,0.748,0.411,0.005,0.024,0.046,1.243,0.489,0.863,0.386,0.584,0.018,0.195,0.147,1.157,0.118,0.052,0.262,0.179,0.221,0.031,0.401,0.026,0.042,0.192,0.004,0.017,0.0,0.012,0.339,0.027,0.003,0.017,0.131
20,0.021,0.034,0.053,0.028,0.004,0.006,0.021,0.01,0.04,1.371,3.003,1.64,2.568,0.012,0.511,0.363,1.48,0.108,0.049,0.23,0.2,2.143,0.439,0.419,0.018,0.024,1.051,0.003,0.003,0.005,0.026,0.422,0.022,0.007,0.026,0.086
21,0.028,0.044,0.185,0.017,0.147,0.009,0.011,0.003,0.029,0.919,2.052,1.191,1.663,0.045,0.544,0.249,1.167,0.334,0.098,0.898,0.579,0.368,0.142,0.741,0.067,0.045,0.695,0.039,0.014,0.0,0.054,1.046,0.034,0.017,0.054,0.119
22,0.021,0.038,0.057,0.025,0.007,0.0,0.011,0.01,0.032,1.39,2.761,1.542,2.402,0.019,0.18,0.288,1.526,0.222,0.159,2.043,0.797,0.439,0.184,0.363,0.021,0.036,0.292,0.004,0.003,0.003,0.337,0.368,0.027,0.02,0.011,0.098
