cell_type,configured_marker,status,symbol_in_reference,gene_id,note,VERIFIED_ON_FLYBASE
Glia (pan),repo,OK,repo,Dmel_CG31240,,
Astrocyte-like glia,alrm,OK,alrm,Dmel_CG11910,,
Astrocyte-like glia,Eaat1,OK,Eaat1,Dmel_CG3747,,
Astrocyte-like glia,Gat,OK,Gat,Dmel_CG1732,,
Surface glia / BBB,moody,OK,moody,Dmel_CG4322,,
Surface glia / BBB,Mdr65,OK,Mdr65,Dmel_CG10181,,
Surface glia / BBB,Tret1-1,ALIAS,Tret1,Dmel_CG30035,Tret1-1 (CG30035) is named Tret1 in this reference,
Cortex/ensheathing glia,wrapper,OK,wrapper,Dmel_CG10382,,
Cortex/ensheathing glia,zyd,OK,zyd,Dmel_CG2893,,
Neuron (pan),elav,OK,elav,Dmel_CG4262,,
Neuron (pan),nSyb,OK,nSyb,Dmel_CG17248,,
Neuron (pan),brp,OK,brp,Dmel_CG42344,,
Neuron (pan),Syt1,OK,Syt1,Dmel_CG3139,,
Kenyon cells (MB),ey,OK,ey,Dmel_CG1464,,
Kenyon cells (MB),Fas2,OK,Fas2,Dmel_CG3665,,
Kenyon cells (MB),rut,ALIAS,Adcy1,Dmel_CG9533,rut (CG9533) is named Adcy1 in this reference,
Kenyon cells (MB),dnc,ALIAS,Pde4,Dmel_CG32498,dnc (CG32498) is named Pde4 in this reference,
Kenyon cells (MB),sNPF,OK,sNPF,Dmel_CG13968,,
Kenyon cells (MB),Dop1R2,OK,Dop1R2,Dmel_CG18741,,
Cholinergic,VAChT,OK,VAChT,Dmel_CG32848,,
Cholinergic,ChAT,OK,ChAT,Dmel_CG12345,,
GABAergic,Gad1,OK,Gad1,Dmel_CG14994,,
GABAergic,VGAT,OK,VGAT,Dmel_CG8394,,
Glutamatergic,VGlut,ALIAS,VGlut1,Dmel_CG9887,VGlut (CG9887) is named VGlut1 in this reference,
Dopaminergic,ple,OK,ple,Dmel_CG10118,,
Dopaminergic,DAT,OK,DAT,Dmel_CG8380,,
Dopaminergic,Ddc,OK,Ddc,Dmel_CG10697,,
Serotonergic,SerT,OK,SerT,Dmel_CG4545,,
Serotonergic,Trh,ALIAS,Trhn,Dmel_CG9122,Trh (CG9122) is named Trhn in this reference,
Octopaminergic,Tdc2,OK,Tdc2,Dmel_CG30446,,
Octopaminergic,Tbh,OK,Tbh,Dmel_CG1543,,
Photoreceptor,ninaE,OK,ninaE,Dmel_CG4550,,
Photoreceptor,Rh3,OK,Rh3,Dmel_CG10888,,
Photoreceptor,Rh4,OK,Rh4,Dmel_CG9668,,
Photoreceptor,trp,OK,trp,Dmel_CG7875,,
Monoaminergic (vesicular),Vmat,OK,Vmat,Dmel_CG33528,,
