gene,sex,log2FC,padj,significant,paper_expectation
IA-2,Male,0.448,8.98095902751153e-121,False,up
mt:lrRNA,Male,3.05,0.0,True,up
ninaE,Male,1.286,4.413837375364312e-171,True,down
cpx,Male,-0.238,1.115735643863239e-75,False,discussed
Ddc,Male,0.183,1.9049147278416904e-06,False,discussed
Dop2R,Male,-0.254,2.837783193752783e-26,False,discussed
slo,Male,0.063,0.00348223617796128,False,discussed
Rgk1,Male,0.788,2.927802460255393e-25,False,discussed
jdp,Male,-0.327,6.894533523815424e-33,False,discussed
ogre,Male,0.613,0.06935601115945399,False,discussed
Nrg,Male,0.139,0.01605996165569464,False,discussed
moody,Male,0.282,1.0,False,discussed
Eaat1,Male,0.195,0.3115110778194692,False,discussed
CG3168,Male,0.065,1.0,False,discussed
GstE12,Male,-0.234,0.25236022470922165,False,discussed
GstE14,Male,0.728,1.0,False,discussed
se,Male,0.124,1.0,False,discussed
Ssadh,Male,-0.57,1.1489953572747858e-33,False,discussed
SPARC,Male,-0.179,1.0,False,discussed
bdl,Male,-0.07,1.0,False,discussed
Tsp,Male,0.936,1.0,False,discussed
Fas2,Male,0.089,0.32792905677963213,False,discussed
Aldh,Male,-0.168,1.0,False,discussed
GluRIA,Male,0.325,5.91500633560995e-10,False,discussed
GluRIB,Male,0.37,1.1986790342970404e-22,False,discussed
Vmat,Male,0.248,0.31234628214289645,False,discussed
IA-2,Female,0.183,1.2772305716094217e-22,False,up
mt:lrRNA,Female,-0.028,1.4853910968888328e-09,False,up
ninaE,Female,0.863,1.3137522610432326e-40,False,down
cpx,Female,-0.026,4.618302200896349e-13,False,discussed
Ddc,Female,-0.004,0.16802995483836528,False,discussed
Dop2R,Female,0.107,1.0,False,discussed
slo,Female,-0.136,1.7158447285100556e-26,False,discussed
Rgk1,Female,0.645,1.0749080942053515e-53,False,discussed
jdp,Female,0.161,1.0406206757838122e-05,False,discussed
ogre,Female,0.231,0.0037985294108538506,False,discussed
Nrg,Female,0.148,2.79928022505075e-08,False,discussed
moody,Female,0.157,1.0,False,discussed
Eaat1,Female,0.256,0.008131827012984332,False,discussed
CG3168,Female,0.62,0.001212866245876255,False,discussed
GstE12,Female,-0.182,1.0,False,discussed
GstE14,Female,0.38,1.0,False,discussed
se,Female,0.314,1.0,False,discussed
Ssadh,Female,0.15,4.881254061545768e-05,False,discussed
SPARC,Female,0.456,0.00977817287553533,False,discussed
bdl,Female,-0.027,1.0,False,discussed
Tsp,Female,0.237,1.0,False,discussed
Fas2,Female,0.814,6.653550298634662e-125,False,discussed
Aldh,Female,0.281,0.06587544784078751,False,discussed
GluRIA,Female,0.531,1.9637474064099613e-63,False,discussed
GluRIB,Female,0.36,2.805663160558902e-39,False,discussed
Vmat,Female,0.267,0.009194555448496665,False,discussed
