names,log2FC_pseudobulk,pval,pvals_adj,sex
CG9394,-0.38130283,5.1603627e-05,0.09056436270475388,Male
DIP-epsilon,0.5005579,0.0012428391,0.47217521667480467,Male
Hasp,-0.3469906,0.0016956277,0.47217521667480467,Male
AstC-R2,0.7321644,0.0019089979,0.47217521667480467,Male
CG1143,-0.94577086,0.0023698218,0.47217521667480467,Male
CG31121,0.75668,0.0024623345,0.47217521667480467,Male
pb,-0.4529071,0.0028949084,0.47217521667480467,Male
dac,0.43525267,0.0032302882,0.47217521667480467,Male
Tollo,0.63172674,0.0033849746,0.47217521667480467,Male
stumps,0.62513685,0.0037785785,0.47217521667480467,Male
Vinc,0.73505425,0.0043669855,0.47217521667480467,Male
Pkc53E,0.23688889,0.004900998,0.47217521667480467,Male
CG42342,-0.4150219,0.005068702,0.47217521667480467,Male
scaf,1.5500059,0.0052959397,0.47217521667480467,Male
Rh2,2.8996725,0.005617214,0.47217521667480467,Male
CG15211,0.9032197,0.0058090226,0.47217521667480467,Male
CG14275,1.78755,0.00582277,0.47217521667480467,Male
CG30480,-0.8219706,0.0058559054,0.47217521667480467,Male
CG6834,0.9951881,0.006339332,0.47217521667480467,Male
CG43117,-0.9347348,0.006945275,0.47217521667480467,Male
Stacl,-0.39039516,0.0069621764,0.47217521667480467,Male
aay,0.40914297,0.006973885,0.47217521667480467,Male
CG9436,-0.4416151,0.007163236,0.47217521667480467,Male
CG11400,1.1845894,0.007166724,0.47217521667480467,Male
CG4872,-0.5332413,0.007305831,0.47217521667480467,Male
Nt5a,-0.50594664,0.007643404,0.47217521667480467,Male
CG16700,0.9047122,0.007720132,0.47217521667480467,Male
GstD2,-1.5466971,0.007928519,0.47217521667480467,Male
CG8401,-2.8365774,0.008059749,0.47217521667480467,Male
Fbxl7,0.7799109,0.008071371,0.47217521667480467,Male
Sur,-0.27274227,0.008906919,0.5005865354795713,Male
CG15473,-1.2436289,0.009416854,0.5005865354795713,Male
zfh2,0.12142849,0.009823491,0.5005865354795713,Male
CG43795,-0.5424042,0.010130554,0.5005865354795713,Male
CG13950,1.4088602,0.0102029685,0.5005865354795713,Male
CG15717,-0.3395095,0.0102948025,0.5005865354795713,Male
Adcy1,0.5041456,0.010553676,0.5005865354795713,Male
CG3663,-0.3479774,0.0115265045,0.5129446792602539,Male
CG6870,2.2514944,0.01215813,0.5129446792602539,Male
Sesn,0.46225214,0.01221479,0.5129446792602539,Male
CG31869,0.5368805,0.01224753,0.5129446792602539,Male
GstD11,0.34499073,0.01260839,0.5129446792602539,Male
laza,0.28710604,0.012618493,0.5129446792602539,Male
disco-r,0.6759167,0.0133281965,0.5129446792602539,Male
bnl,0.48876858,0.013487677,0.5129446792602539,Male
Tpp,0.8571945,0.013900829,0.5129446792602539,Male
gl,1.0197916,0.014165542,0.5129446792602539,Male
CG11791,-0.2545743,0.014231308,0.5129446792602539,Male
CG34423,0.6664919,0.014351909,0.5129446792602539,Male
loco,0.32945013,0.014613808,0.5129446792602539,Male
CG6310,-0.56522274,0.015614421,0.5139790567858465,Male
rdhB,1.6017423,0.015814072,0.5139790567858465,Male
PGRP-LB,-0.48527503,0.015924968,0.5139790567858465,Male
CG13606,0.901948,0.01620648,0.5139790567858465,Male
Mdh1,-0.4767437,0.016301524,0.5139790567858465,Male
CG13408,-0.57513523,0.016703911,0.5139790567858465,Male
CG43103,1.5667031,0.016817383,0.5139790567858465,Male
Obp19c,0.93846214,0.016986202,0.5139790567858465,Male
foxo,0.75742865,0.017546972,0.5169741722845262,Male
asRNA:CR45376,1.1145221,0.017940963,0.5169741722845262,Male
CG18343,-0.50811684,0.01824069,0.5169741722845262,Male
betaTub97EF,0.7145724,0.018263474,0.5169741722845262,Male
CG3902,0.9720037,0.018888716,0.5186182856559753,Male
Spar,0.39658928,0.018912576,0.5186182856559753,Male
CG3091,0.77586937,0.019268045,0.5202372037447416,Male
Poxn,-0.30438805,0.020203713,0.521627765812286,Male
CG2767,1.1102028,0.020239001,0.521627765812286,Male
lncRNA:CR44785,0.64541936,0.020366082,0.521627765812286,Male
Fer1,-0.31989574,0.020896222,0.521627765812286,Male
CG6356,1.4542136,0.021335619,0.521627765812286,Male
Hnf4,0.124592304,0.021390691,0.521627765812286,Male
Ssk,-0.70731926,0.021413555,0.521627765812286,Male
GstE14,0.79243445,0.021697337,0.521627765812286,Male
CG31689,0.39084125,0.022356085,0.5302017315013988,Male
CG15202,0.58708143,0.022662796,0.5303094482421875,Male
lncRNA:CR46127,0.4366616,0.023761377,0.544002103805542,Male
CG14778,-0.9226525,0.02393404,0.544002103805542,Male
