cell_type,mean_DE,sd_DE,n_seeds
"Unannotated (Eaat1-high, repo-negative)",18.0,7.483314773547883,3
Central brain B cholinergic neurons,12.666666666666666,3.39934634239519,3
Surface glia and fat body,11.666666666666666,2.6246692913372702,3
Glutamatergic neurons (subtype),9.0,4.546060565661952,3
Kenyon cells,7.333333333333333,2.6246692913372702,3
Neuropeptide/cholinergic neurons,7.333333333333333,3.39934634239519,3
Central brain GABAergic neurons type 1,7.0,2.160246899469287,3
Unannotated (antennal/optic lobe mix),6.666666666666667,1.8856180831641267,3
Photoreceptor cells,5.333333333333333,1.699673171197595,3
Glutamatergic neurons type 1,5.333333333333333,1.8856180831641267,3
GABAergic neurons type 3,5.0,3.559026084010437,3
Unannotated,4.666666666666667,0.4714045207910317,3
Central brain A type 1,4.333333333333333,1.247219128924647,3
Dopaminergic neurons,4.0,1.4142135623730951,3
Glutamatergic neurons type 3,3.3333333333333335,0.4714045207910317,3
Optic lobe type 2,3.0,1.4142135623730951,3
Optic lobe neurons,2.6666666666666665,0.9428090415820634,3
Unannotated (pigment/retinal support?),2.6666666666666665,0.9428090415820634,3
Cholinergic neurons,2.3333333333333335,0.4714045207910317,3
GABAergic and monoaminergic neurons,2.0,0.0,3
Olfactory projection neurons,1.6666666666666667,0.4714045207910317,3
Glia (Gs2+),1.6666666666666667,0.4714045207910317,3
Astrocyte-like glia,1.0,0.0,3
